SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
CATEGORY=Internal|Standard Selection ~ Familiar.MOD																							COMPANIONLIST:Familiar|Krenshar|PREALIGN:LN,NG,TN,NE,CN|PRECLASS:1,SPELLCASTER.Arcane=3|PRETOTALAB:3|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Worg|PREALIGN:LE,TN,NE,CE|PRECLASS:1,SPELLCASTER.Arcane=3|PRETOTALAB:3|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Blink Dog|PREALIGN:LG,LN,NG|PRECLASS:1,SPELLCASTER.Arcane=5|PRETOTALAB:5|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Hell Hound|PREALIGN:LN,LE,NE|PRECLASS:1,SPELLCASTER.Arcane=5|PRETOTALAB:5|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Hippogriff|PREALIGN:LN,NG,TN,NE,CN|PRECLASS:1,SPELLCASTER.Arcane=7|PRETOTALAB:7|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Howler|PREALIGN:NE,CN,CE|PRECLASS:1,SPELLCASTER.Arcane=7|PRETOTALAB:7|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Familiar|Winter Wolf|PREALIGN:LE,TN,NE,CE|PRECLASS:1,SPELLCASTER.Arcane=7|PRETOTALAB:7|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	FOLLOWERS:Guardian Familiar|1	COMPANIONLIST:Guardian Familiar|Spark Guardian|PRECLASS:1,SPELLCASTER.Arcane=7|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Guardian Familiar|Gauntlet Guardian|PRECLASS:1,SPELLCASTER.Arcane=9|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	COMPANIONLIST:Guardian Familiar|Blade Guardian|PRECLASS:1,SPELLCASTER.Arcane=11|PREABILITY:1,CATEGORY=FEAT,Improved Familiar	
																																	
# Master Thrower critical throws																																	
Critical Throw	CATEGORY:Special Ability	TYPE:CriticalThrow.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Choose thrown weapon.	KEY:Critical Throw ~ Weapon Focus	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Weapon Focus],TYPE=Thrown	ABILITY:FEAT|AUTOMATIC|Improved Critical (%LIST)										SOURCEPAGE:CW	
																																	
###Block: Ancient Foes																																	
Ancient Foe - Humanoid (Orc)	CATEGORY:Special Ability	TYPE:ClassFeatures.DarkwoodStalkerClassFeatures.AncientFoe.Extraordinary.SpecialAttack.AncientFoeHumanoid	VISIBLE:YES	DESC:Gain a +%1 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +%1 bonus on weapon damage rolls with ranged weapon against such creatures.|AncientFoeBonusHumanoidOrc	KEY:Ancient Foe ~ Humanoid ~ Orc	PREVARGTEQ:DarkStalkerAncientFoeLVL,1			DEFINE:AncientFoeBonusHumanoidOrc|0					BONUS:VAR|AncientFoeBonusHumanoidOrc|AncientFoeBaseBonus	BONUS:VAR|AncientFoeBonusHumanoidOrc|ImprovedFavoredEnemyBonus																	SOURCEPAGE:PHB	ASPECT:Ability Benefit|+%1|AncientFoeBonusHumanoidOrc
																																	
###Block: Ancient Foe Bonuses																																	
Humanoid (Orc)	CATEGORY:Special Ability	TYPE:AncientFoeBonus	VISIBLE:DISPLAY		KEY:Ancient Foe Bonus ~ Humanoid ~ Orc	PREABILITY:1,CATEGORY=Special Ability,Ancient Foe ~ Humanoid ~ Orc								BONUS:VAR|AncientFoeBonusHumanoidOrc|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:CW	
