SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
																																
###Block: Race Traits																																
																																
###Block: Subtype Traits																																
# Elements																																
																																
# Alignments																																
																																
# Racial																																
																																
# Race Groups Subtype																																
																																
# Race Groups																																
																																
###Block: Tracker																																
																																
###Block: Races																																
Race Traits ~ Spark Guardian	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SparkGuardianRaceTrait											BONUS:VAR|Maneuverability|4|TYPE=Base	BONUS:COMBAT|TOHIT.Melee|max(DEX,STR)-STR	BONUS:VAR|FastHealing|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base														
Sparks	CATEGORY:Special Ability	TYPE:SparkGuardianRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The spark guardian's sparks have a range increment of 100 feet.	KEY:Spark Guardian ~ Spark																											SOURCEPAGE:CW
Find Master	CATEGORY:Special Ability	TYPE:SparkGuardianRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:No matter the distance, as long as it is on the same plane, a spark guardian can find its master.	KEY:Spark Guardian ~ Find Master																											SOURCEPAGE:CW
																																
Race Traits ~ Gauntlet Guardian	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GauntletGuardianRaceTrait											BONUS:VAR|FastHealing|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base																
Find Master	CATEGORY:Special Ability	TYPE:GauntletGuardianRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:No matter the distance, as long as it is on the same plane, a gauntlet guardian can find its master.	KEY:Gauntlet Guardian ~ Find Master																											SOURCEPAGE:CW
Spell Storing	CATEGORY:Special Ability	TYPE:GauntletGuardianRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A gauntlet guardian can store one spell of 2nd level or lower that is cast into it by another creature. It uses this spell when commanded or when a predetermined situation arises. Once this spell is used, it can store another spell (or the same spell).	KEY:Gauntlet Guardian ~ Spell Storing																											SOURCEPAGE:CW
																																
Race Traits ~ Blade Guardian	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BladeGuardianRaceTrait											BONUS:VAR|FastHealing|1|TYPE=Base	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base																
Find Master	CATEGORY:Special Ability	TYPE:BladeGuardianRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:No matter the distance, as long as it is on the same plane, a blade guardian can find its master.	KEY:Blade Guardian ~ Find Master																											SOURCEPAGE:CW
Guard	CATEGORY:Special Ability	TYPE:BladeGuardianRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A blade guardian moves swiftly to defend its master by its side, blocking blows and disrupting foes. All attacks against the master take a -2 penalty if the blade guardian is adjacent.	KEY:Blade Guardian ~ Guard																											SOURCEPAGE:CW
Spell Storing	CATEGORY:Special Ability	TYPE:BladeGuardianRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:blade guardian can store one spell of 3rd level or lower that is cast into it by another creature. It uses this spell when commanded or when a predetermined situation arises. Once this spell is used, it can store another spell (or the same spell).	KEY:Blade Guardian ~ Spell Storing																											SOURCEPAGE:CW
