SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																																									
#																																												
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page		
Arcane Strike	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:4																PRETEXT:Ability to cast 3rd-level arcane spells.				DESC:When you activate this feat (a free action that does not provoke an attack of opportunity), you can channel arcane eenergy into a meleeweapon, your unarmed strike or natural weapons. You must sacrifice one of your spells for tha day (of 1st level or higher) to do this, but you gain a bonus on all your attack rolls for 1 round equal to the level of the spell sacrified as well as an extra damage equal to 1d4 points x the level of the spell sacrified. The bonus you add to your attack rolls from this feat cannot be greater than your base attack bonus.																	SOURCEPAGE:CW		
Arterial Strike	CATEGORY:FEAT	TYPE:General	VISIBLE:YES		PRETOTALAB:4		PREABILITY:1,CATEGORY=Special Ability,Sneak Attack																		DESC:If you hit with a sneak attack, you may choose to forgo +1d6 of extra sneak attack damage to deliver a wound that won't stop bleeding. Each wound caused in this manner saps an extra 1 point of damage per round from the victim, until the victim receives the benefit of a DC 15 Heal check or any Cure spell or other magical healing. Wounds from multiple arterial strikes result in cumulative bleeding loss (two successfull arterial strike cause an extra 2 points of damage per round until healed). You may deliver only one bleeding wound per successful sneak attack.																	SOURCEPAGE:CW		
Axiomatic Strike	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																			PREVARGTEQ:KiStrikeLawful,1			DESC:Against chaotic opponent, you can make an unarmed attack that does an extra 2d6 points of damage. You must declare that you are using this feat before you make your attack roll (thus, a failed attack ruins the attempt). Each attempt counts as one of your uses of the stunning fist feat for the day. Creatures immune to stunning can be affected by this extra damage.																	SOURCEPAGE:CW		
Clever Wrestling	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Improved Unarmed Strike														PREMULT:2,[PRESIZEGTEQ:S],[PRESIZELTEQ:M]				DESC:When your opponent is larger than Medium, you gain a circumstance bonus on your grapple check to escape a grapple or pin. The size of the bonus depends on your opponent's size, according to the following table.&nl;Opponent Size - Bonus&nl;Large - +2&nl;Huge - +4&nl;Gargantuan - +6&nl;Colossal - +8																	SOURCEPAGE:CW		
Close-Quarters Fighting	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES		PRETOTALAB:3																				DESC:You gain an attack of opportunity whenever an enemy attempts to grapple you, even if the enemy has a feat or special ability that would normally bypass the attack. If you deal damage with this attack, the enemy fails to start the grapple unless it has the Improved Grapple feat or a special ability such as improved grab. If the enemy has such an ability, you may add the damage you deal as a bonus on your opposed check to resist being grappled. This feat does not give you extra attacks of opportunity during a round or allow you to make an attack of opportunity when you would be denied one for being surprised, helpless, or in a similar situation. For example, an ogre attempts to grapple Tordek. Tordek gains an attack of opportunity, hits, and causes damage. Since the ogre does not have any sort of grappling special ability or feat, it fails to start a grapple. Then an ankheg-a creature with the improved grab special ability-attempts to grapple Tordek. He takes an attack of opportunity, hits, and deals 10 points of damage to the creature. Tordek then adds +10 to his opposed check to resist being grappled.																	SOURCEPAGE:CW		
Dash	CATEGORY:FEAT	TYPE:General	VISIBLE:YES																						DESC:If you are wearing light armor or no armor and are carrying a light load, your speed is 5 feet faster.																	SOURCEPAGE:CW	BONUS:MOVEADD|TYPE=Walk|5|PREVARLT:ENCUMBERANCE,1,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1,var("COUNT[EQTYPE.ARMOR.IS.MEDIUM]"),1	
Defensive Strike	CATEGORY:FEAT	TYPE:General.Fighter	VISIBLE:YES				PREABILITY:2,CATEGORY=FEAT,Combat Expertise,Dodge									PRESTAT:2,DEX=13,INT=13									DESC:If an opponent attacks you and misses while you are using the total defense action, you can attack that opponent on your next turn with a +4 bonus on your attack roll. You gain no bonus against an opponent that does not attack you or against an opponent that attacks and hits you.																	SOURCEPAGE:CW		
Defensive Throw	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:4,CATEGORY=FEAT,Combat Reflexes,Dodge,Improved Trip,Improved Unarmed Strike									PRESTAT:1,DEX=13									DESC:If the opponent you have chosen to use your Dodge feat against attacks you and misses, you can make an immediate trip attack against that opponent. This attempt counts against your allowed attacks of opportunity in the round.																	SOURCEPAGE:CW		
Destructive Rage	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Rage																		DESC:While you are in a rage or frenzy, you gain a +8 bonus on any Strength checks you make to break down doors or break inanimate, immobile objects.																	SOURCEPAGE:CW		
Earth's Embrace	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREMULT:1,[PREABILITY:1,CATEGORY=FEAT,Improved Grapple],[PREABILITY:1,CATEGORY=Special Ability,TYPE.Improved Grab]									PRESTAT:1,STR=15									DESC:While grappling, if you pin your opponent, you deal an extra 1d12 points of damage in each round that you maintain the pin. You must hold your opponent immobile as normal (with an opposed grapple check), but you must also remain immobile, giving opponents (other than the one you're pinning) a +4 bonus on attack rolls against you (but you are not helpless). You do not gain this extra damage against creatures that are immune to critical hits.																	SOURCEPAGE:CW		
