SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
																																
###Block: Race Traits																																
																																
###Block: Subtype Traits																																
# Elements																																
																																
# Alignments																																
																																
# Racial																																
																																
# Race Groups Subtype																																
																																
# Race Groups																																
Landwyrm Subtraits	CATEGORY:Special Ability	TYPE:SubTraitAbility																					ABILITY:Special Ability|AUTOMATIC|Landwyrm ~ Frightful Presence									SOURCEPAGE:MM1	
Frightful Presence	CATEGORY:Special Ability	TYPE:LandwyrmSubRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Much like the chromatic and metallic dragons, landwyrms can unsettle their foes with their mere presence. This ability takes effect automatically whenever the landwyrm attacks or charges. Creatures within the specified radius are subject to the effect if they are at least one size category smaller than the landwyrm and have fewer HD than the landwyrm. A potentially affected creature that succeeds on a Will save (DC 10 + 1/2 landwyrm's HD + landwyrm's Cha modifier) remains immune to that landwyrm's frightful presence for 24 hours. On a failure, creatures whose HD are less than half the landwyrm's HD become panicked for 2d6 rounds and those whose HD are equal to or more than half the landwyrm's HD become shaken for 2d6 rounds. Other dragons (whether landwyrms or not) are immune to a landwyrm's frightful presence.	KEY:Landwyrm ~ Frightful Presence																											SOURCEPAGE:Drac
																																
###Block: Tracker																																
																																
###Block: Monsters																																
Race Traits ~ Abyssal Drake	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AbyssalDrakeRaceTrait	AUTO:LANG|Abyssal|Common										BONUS:VAR|Maneuverability|2|TYPE=Base																		
Natural Weapons	CATEGORY:Special Ability	TYPE:AbyssalDrakeRaceTrait.SpecialQuality.Natural Weapons	VISIBLE:YES	DESC:An abyssal drake's natural weapons, as well as any weapons it wields, are treated as chaotic-aligned and evilaligned for purpose of overcoming damage reduction.	KEY:Abyssal Drake ~ Natural Weapons																											SOURCEPAGE:Drac
Breath Weapon	CATEGORY:Special Ability	TYPE:AbyssalDrakeRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-ft. cone, every 1d4 rounds, %2d%3 special, Reflex DC %4 half. Much like a flame strike spell, half of this damage is fire damage and the remainder is unholy damage (and thus not subject to resistance to fire and similar defenses). The save DC is Constitution-based.|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Abyssal Drake ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|60	BONUS:VAR|BreathWeaponDice|10	BONUS:VAR|BreathWeaponDamageDie|6|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:Drac
Frightful Presence	CATEGORY:Special Ability	TYPE:AbyssalDrakeRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When an abyssal drake charges, attacks, or flies overhead, it inspires terror in all creatures within %2 feet that have fewer Hit Dice or levels than it has. Each potential victim must attempt a DC %1 Will save. On a failure, a creature with 4 or fewer HD becomes panicked for 4d6 rounds, and one with 5 or more HD becomes shaken for 4d6 rounds. A successful save leaves that opponent immune to that abyssal drake's frightful presence for 24 hours. Dragons ignore the frightful presence of an abyssal drake, as do other abyssal drakes.|FrightfulPresenceDC|FrightfulPresenceRange	KEY:Abyssal Drake ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)	BONUS:VAR|FrightfulPresenceRange|120							ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:Drac
Poison	CATEGORY:Special Ability	TYPE:AbyssalDrakeRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 2d6 CON, secondary damage 2d6 CON. The save DC is Constitution-based.|PoisonDC	KEY:Abyssal Drake ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:Drac
Rend	CATEGORY:Special Ability	TYPE:AbyssalDrakeRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If an abyssal drake hits with both claw attacks, it latches onto the opponent's body and tears the flesh. This rending attack automatically deals an extra 4d4+13 points of damage.	KEY:Abyssal Drake ~ Rend									BONUS:VAR|RendDice|4	BONUS:VAR|RendDieSize|4|TYPE=Base																	SOURCEPAGE:Drac
																																
Race Traits ~ Dragonkin	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DragonkinRaceTrait	AUTO:LANG|Draconic	AUTO:WEAPONPROF|Longspear									BONUS:VAR|Maneuverability|4|TYPE=Base	BONUS:VAR|AdvancementByClass|1																	
Rake	CATEGORY:Special Ability	TYPE:DragonkinRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Dragonkin make two additional attacks (+10 melee) with their rear claws for 1d6+2 points of damage each when attacking from the air.	KEY:Dragonkin ~ Rake																		NATURALATTACKS:Rake,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6	BONUS:WEAPONPROF=Rake|DAMAGE|-STR/2								SOURCEPAGE:Drac
Detect Magic	CATEGORY:Special Ability	TYPE:DragonkinRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Dragonkin have the innate ability to use detect magic as a free action, once per round.	KEY:Dragonkin ~ Detect Magic																		SPELLS:Innate|TIMES=1|TIMEUNIT=Round|CASTERLEVEL=HD|Detect Magic									SOURCEPAGE:Drac
																																
Race Traits ~ Dragonnel	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DragonnelRaceTrait|Immunity to Sleep|Immunity to Paralysis|Scent	AUTO:LANG|Draconic										BONUS:VAR|Maneuverability|3|TYPE=Base																		
