SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																																													
#																																																
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page						
Adroit Flyby Attack	CATEGORY:FEAT	TYPE:General	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Flyby Attack	PREABILITY:1,CATEGORY=FEAT,Hover,Wingover													PREMOVE:1,Fly=90				DESC:When flying and making an attack action, you can move both before and after the attack, provided that the total distance moved is not greater than your fly speed. Your flying movement does not provoke attacks of opportunity from the creatures you attack during the round when you use this feat.																	SOURCEPAGE:Drac						
Awaken Frightful Presence	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=11					PRERACE:1,RACETYPE=Dragon				DESC:You gain the frightful presence special ability with a radius in feet equal to 5 x 1/2 your racial Hit Dice. The ability takes effect automatically whenever you attack, charge, or fly overhead. Creatures within the radius are subject to the effect if they can see you and have fewer Hit Dice than your racial Hit Dice. A potentially affected creature that succeeds on a Will save (DC 10 + 1/2 your racial HD + your Cha modifier) remains immune to your frightful presence for 24 hours. On a failure, creatures with 4 or fewer Hit Dice become panicked for 4d6 rounds and those with 5 or more Hit Dice become shaken for 4d6 rounds. Dragons ignore the frightful presence of other dragons.														BONUS:VAR|FrightfulPresenceDC|2|PREVARGTEQ:DragonAgeCategory,5			SOURCEPAGE:Drac						
Awaken Spell Resistance	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=13					PRERACE:1,RACETYPE=Dragon			DEFINE:AwakenSpellResistanceSR|0	DESC:You gain innate spell resistance equal to your racial Hit Dice.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|AwakenSpellResistanceSR|HD-2|TYPE=Base			SOURCEPAGE:Drac	SR:AwakenSpellResistanceSR	BONUS:VAR|AwakenSpellResistanceSR|2|TYPE=Base|PREVARGTEQ:DragonAgeCategory,5	BONUS:VAR|AwakenSpellResistanceSR|2			
Clinging Breath	CATEGORY:FEAT	TYPE:Metabreath	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Breath Weapon									PRESTAT:1,CON=13									DESC:Your breath weapon has its normal effect, but also clings to anything caught in its area. A clinging breath weapon lasts for 1 round. In the round after you breathe, the clinging breath weapon deals half of the damage it dealt in the previous round. Creatures that avoid damage from the breath weapon (such as creatures with the evasion special quality or incorporeal creatures) do not take the extra damage. For example, an old silver dragon uses its cold breath and deals 72 points of cold damage (or 36 points against a target that makes its save). In the following round,  foes that failed their saves against the breath weapon initially take an additional 36 points of cold damage, and foes that succeeded on their saves take 18 points of cold damage. A foe can take a full-round action to attempt to remove the clinging breath weapon before taking any additional damage. It takes a successful Reflex saving throw (same DC as your normal breath weapon) to remove the effect. Rolling around on the ground grants a +2 bonus on the saving throw, but leaves the foe prone. A clinging breath weapon cannot be removed or smothered by jumping into water. A clinging breath weapon can be magically dispelled (DC equal to your breath weapon save DC). This feat only works on a breath weapon that has instantaneous duration and that deals some kind of damage, such as energy damage (acid, cold, electricity, fire, or sonic), ability damage, or negative levels. When you use this feat, add +1 to the number of rounds you must wait before using your breath weapon again.																	SOURCEPAGE:Drac						
Devastating Critical	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1	PREABILITY:6,CATEGORY=FEAT,Cleave,Great Cleave,Improved Critical,Overwhelming Critical,Power Attack,Weapon Focus									PRESTAT:1,STR=25					PREMULT:1,[PREPROFWITHARMOR:1,TYPE.Medium],[PREABILITY:1,CATEGORY=FEAT,Armor Proficiency (Medium)]				DESC:Whenever you score a critical hit with the weapon you have chosen, the target must make a Fortitude save (DC 10 + 1/2 your HD + your character level + your Str modifier) or die instantly. (Creatures immune to critical hits can't be affected by this feat.)	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Weapon Focus]														SOURCEPAGE:Drac						
Dire Charge	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1	PREABILITY:1,CATEGORY=FEAT,Improved Initiative																		DESC:If you charge a foe during the first round of combat (or the surprise round, if you are allowed to act in it), you can make a full attack against the opponent you charge.																	SOURCEPAGE:Drac						
Draconic Knowledge	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,INT=19					PREMULT:2,[PRERACE:1,RACETYPE=Dragon],[PREABILITY:1,CATEGORY=Internal,True Dragon]			DEFINE:DraconicKnowledge|0	DESC:This feat works much like the bard's bardic knowledge class feature, except that it relies on the scale and impact of past events rather than on how many people already share the information. You may make a special Draconic Knowledge check (d20 + your age category + your Int modifier) to see whether you know some relevant information about an item, event, or locale. This check will not reveal the powers of a magic item but may give a hint about its general function. You may not take 10 or take 20 on this check; this sort of information is essentially random. If you have a Knowledge skill that is related to or applicable to the information you seek, you receive a +1 bonus on the draconic knowledge check for every 5 ranks you have in that Knowledge skill. The DM determines the Difficulty Class of the check by referring to the table below.														BONUS:VAR|DraconicKnowledge|INT+DragonAgeCategory			SOURCEPAGE:Drac	ASPECT:Name|Draconic Knowledge +%1|DraconicKnowledge					
Embed Spell Focus	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CON=13					PRERACE:1,RACETYPE=Dragon				DESC:You can embed the focus component for a spell you know how to cast into your skin or hide and use the embedded focus anytime you cast the spell. You can embed a number of focuses equal to your Constitution score.																	SOURCEPAGE:Drac						
Endure Blows	CATEGORY:FEAT	TYPE:Monstrous	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,Toughness									PRESTAT:1,CON=19					PRERACE:1,RACETYPE=Dragon			DEFINE:EndureBlowsDR|0	DESC:Each creature you conjure with any summon spell gains a +4 enhancement bonus to Strength and Constitution for the duration of the spell that summoned it.														BONUS:VAR|EndureBlowsDR|2			SOURCEPAGE:Drac	DR:0/-	BONUS:DR|-|EndureBlowsDR				
Enlarge Breath	CATEGORY:FEAT	TYPE:Metabreath	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,TYPE.Breath Weapon									PRESTAT:1,CON=13									DESC:The length of your breath weapon increases by 50%% (round down to the nearest multiple of 5). For example, an old silver dragon breathing an enlarged cone of cold produces a 75-foot cone instead of a 50-foot cone. Cone-shaped breath weapons get wider when they get longer, but lineshaped breath weapons do not. When you use this feat, add +1 to the number of rounds you must wait before using your breath weapon again.																	SOURCEPAGE:Drac						
Epic Fortitude	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1																			DESC:You gain a +4 bonus on all Fortitude saving throws.								BONUS:SAVE|Fortitude|4									SOURCEPAGE:Drac						
Epic Reflexes	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1																			DESC:You gain a +4 bonus on all Reflex saving throws.								BONUS:SAVE|Reflex|4									SOURCEPAGE:Drac						
Epic Will	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PREVARGTEQ:EpicCharacter,1																			DESC:You gain a +4 bonus on all Will saving throws.								BONUS:SAVE|Will|4									SOURCEPAGE:Drac						
