SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																																
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:		
#			STARTFEATS:1	SIZE:H	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Aquatic	MONSTERCLASS:Aberration:8	MOVE:Walk,10,Swim,60	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning.Slashing,*4,1d6,SPROP=Slime				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Aboleth									MONCSKILL:Concentration|TYPE.Knowledge|Listen|Spot|Swim	CR:7		HITDICEADVANCEMENT:16,24		LEGS:0	HANDS:4	SOURCEPAGE:MM1	KIT:1|Aboleth Stats	
Abyssal Drake			STARTFEATS:1	SIZE:H	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Chaotic|Evil|Extraplanar|Fire	MONSTERCLASS:Outsider:10	MOVE:Walk,40,Fly,150	BONUS:COMBAT|AC|12|TYPE=NaturalArmor	NATURALATTACKS:Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d6,SPROP=Poison|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4			FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abyssal Drake			BONUS:STAT|STR|18	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4	MONCSKILL:Bluff|Diplomacy|Hide|Intimidate|Listen|Move Silently|Search|Spot	CR:9	KIT:1|CE	HITDICEADVANCEMENT:20,30	LEVELADJUSTMENT:5	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Abyssal Drake Stats	
Dragonkin		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Reptilian	MONSTERCLASS:Monstrous Humanoid:7	MOVE:Walk,20,Fly,40	BONUS:COMBAT|AC|7|TYPE=NaturalArmor	NATURALATTACKS:Foreclaw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dragonkin			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|4	BONUS:STAT|CHA|2	MONCSKILL:Listen|Spot	CR:3			LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Dragonkin Stats	
Dragonnel			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:6	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dragonnel			BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2		MONCSKILL:Hide|Listen|Move Silently|Spot	CR:4	KIT:1|TN	HITDICEADVANCEMENT:12,18	LEVELADJUSTMENT:3	LEGS:4	HANDS:0	SOURCEPAGE:Drac	KIT:1|Dragonnel Stats	
Elemental Drake (Air Drake)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Air	MONSTERCLASS:Dragon:8	MOVE:Walk,30,Fly,120	BONUS:COMBAT|AC|2|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Drake (Air Drake)			BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4		MONCSKILL:Bluff|Diplomacy|Escape Artist|Hide|Intimidate|Listen|Move Silently|Spot	CR:6		HITDICEADVANCEMENT:19,24	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Elemental Drake (Air Drake) Stats	
Elemental Drake (Earth Drake)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Earth	MONSTERCLASS:Dragon:12	MOVE:Walk,20,Burrow,20,Fly,60	BONUS:COMBAT|AC|12|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Drake (Earth Drake)			BONUS:STAT|STR|12		BONUS:STAT|CON|8	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2	MONCSKILL:Bluff|Climb|Diplomacy|Hide|Intimidate|Listen|Search|Spot	CR:11		HITDICEADVANCEMENT:19,29,36	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Elemental Drake (Earth Drake) Stats	
Elemental Drake (Fire Drake)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Fire	MONSTERCLASS:Dragon:14	MOVE:Walk,40,Fly,90	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Drake (Fire Drake)			BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2		MONCSKILL:Bluff|Climb|Diplomacy|Intimidate|Jump|Listen|Search|Spot	CR:10		HITDICEADVANCEMENT:19,29,39,42	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Elemental Drake (Fire Drake) Stats	
Elemental Drake (Ice Drake)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Air|Cold|Water	MONSTERCLASS:Dragon:8	MOVE:Walk,30,Fly,110,Swim,20	BONUS:COMBAT|AC|8|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Drake (Ice Drake)			BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|8		BONUS:STAT|WIS|6	BONUS:STAT|CHA|2	MONCSKILL:Balance|Climb|Escape Artist|Hide|Listen|Search|Spot|Swim	CR:7		HITDICEADVANCEMENT:19,24	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Elemental Drake (Ice Drake) Stats	
Elemental Drake (Magma Drake)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Earth|Fire	MONSTERCLASS:Dragon:16	MOVE:Walk,30,Burrow,10,Fly,60	BONUS:COMBAT|AC|12|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Drake (Magma Drake)			BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2		MONCSKILL:Bluff|Climb|Diplomacy|Hide|Intimidate|Listen|Search|Spot	CR:13		HITDICEADVANCEMENT:19,29,39,51	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Elemental Drake (Magma Drake) Stats	
Elemental Drake (Ooze Drake)			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon	RACESUBTYPE:Aquatic|Earth|Water	MONSTERCLASS:Dragon:12	MOVE:Walk,20,Burrow,10,Fly,50,Swim,20	BONUS:COMBAT|AC|12|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Elemental Drake (Ooze Drake)			BONUS:STAT|STR|14		BONUS:STAT|CON|10	BONUS:STAT|INT|-2	BONUS:STAT|WIS|4		MONCSKILL:Bluff|Diplomacy|Hide|Intimidate|Listen|Move Silently|Search|Spot|Swim	CR:12		HITDICEADVANCEMENT:19,29,36	LEVELADJUSTMENT:3	LEGS:2	HANDS:2	SOURCEPAGE:Drac	KIT:1|Elemental Drake (Ooze Drake) Stats	
