SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
CATEGORY=Internal|Standard Selection ~ Animal Companion (Druid).MOD	COMPANIONLIST:Animal Companion|Animal (Bear/Black),Branta,Companion ~ Animal (Shark (Large)),Leopard (Snow),Animal (Wolverine)|FOLLOWERADJUSTMENT:-3	COMPANIONLIST:Animal Companion|Animal (Bear/Brown),Dire Animal (Dire Wolf),Dire Animal (Dire Wolverine),Megaloceros|FOLLOWERADJUSTMENT:-6	COMPANIONLIST:Animal Companion|Animal (Bear/Polar),Glyptodon,Smilodon,Companion ~ Animal (Shark (Huge)),Animal (Whale (Orca))|FOLLOWERADJUSTMENT:-9	COMPANIONLIST:Animal Companion|Dire Animal (Dire Bear),Animal (Octopus (Giant)),Wolly Mammoth|FOLLOWERADJUSTMENT:-12	COMPANIONLIST:Animal Companion|Dire Animal (Dire Shark),Dire Animal (Dire Tiger),Companion ~ Animal (Squid (Giant)),Zeuglodon|FOLLOWERADJUSTMENT:-15																											
CATEGORY=Internal|Standard Selection ~ Familiar.MOD	COMPANIONLIST:Familiar|Animal (Arctic Fox),Animal (Gyrfalcon),Animal (Lemming),Animal (Owl (Snow)),Animal (Penguin),Animal (Puffin)																															

###Block:Familiar																																
Familiar ~ Arctic Fox	CATEGORY:Special Ability													BONUS:SKILL|Move Silently|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:FF
Familiar ~ Gyrfalcon	CATEGORY:Special Ability													BONUS:SKILL|Spot|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:FF
Familiar ~ Lemming	CATEGORY:Special Ability													BONUS:SKILL|Listen,Spot|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:FF
Familiar ~ Owl (Snow)	CATEGORY:Special Ability													BONUS:SKILL|Move Silently|3|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:FF
Familiar ~ Penguin	CATEGORY:Special Ability													BONUS:SAVE|Fortitude|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:FF
Familiar ~ Puffin	CATEGORY:Special Ability													BONUS:SKILL|Swim,Survival|2|TYPE=Familiar									ABILITY:Special Ability|AUTOMATIC|Familiar ~ Within Reach									SOURCEPAGE:FF

###Block: Class Abilities
Conjure Ice Beast I	CATEGORY:Special Ability	TYPE:GainKnowledge	VISIBLE:YES	DESC:Gain Conjure Ice Beast I.	KEY:Frost Mage ~ Gain Knowledge ~ Wizard 1	PRECLASS:1,Wizard=1																	SPELLLEVEL:CLASS|Wizard=1|Conjure Ice Beast I								SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro
Conjure Ice Beast II	CATEGORY:Special Ability	TYPE:GainKnowledge	VISIBLE:YES	DESC:Gain Conjure Ice Beast II.	KEY:Frost Mage ~ Gain Knowledge ~ Wizard 2	PRECLASS:1,Wizard=1																	SPELLLEVEL:CLASS|Wizard=2|Conjure Ice Beast II								SORTKEY:Class_Frost_Mage	SOURCEPAGE:Fro
