SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Cloud anchorites gain no proficiency with any weapon, armor or shield.	KEY:Cloud Anchorite ~ Weapon and Armor Proficiency																										SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Climb Speed	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, a cloud anchorite gains a climb speed of 10 feet. She gains a +8 racial bonus on all Climb checks. A cloud anchorite must make a Climb check to climb any wall or slope with a DC of more than 0, but she can always choose to take 10, even if rushed or threatened while climbing. She cannot use the run action while climbing. She retains her Dexterity bonus to Armor Class (if any) while climbing, and opponents get no special bonus on their attacks against her while she is climbing. A cloud anchorite in armor (even light armor) or carrying a medium or heavy load loses this extra speed. As the cloud anchorite gains levels, her climb speed increases. At each odd-numbered level, she gains a +10-foot bonus to her current climb speed. If the cloud anchorite already possesses a climb speed (for example, if she possessed a racial climb speed before becoming a cloud anchorite), these bonuses stack with her current climb speed.	KEY:Cloud Anchorite ~ Climb Speed				DEFINE:CloudAnchoriteClimbSpeed|0					BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:VAR|CloudAnchoriteClimbSpeed|10*((CloudAnchoriteLVL+1)/2)|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1	BONUS:MOVEADD|TYPE.Climb|CloudAnchoriteClimbSpeed							MOVECLONE:Walk,Climb,*0								SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Wisdom of the Mountain	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A cloud anchorite adds her Wisdom modifier on Balance, Climb, and Jump checks made in mountain terrain. In addition, the cloud anchorite can always take 10 on a Balance, Climb, or Jump check, even if circumstances would normally prevent her from doing so.	KEY:Cloud Anchorite ~ Wisdom of the Mountain									BONUS:SITUATION|Balance=Mountains terrain|WIS	BONUS:SITUATION|Climb=Mountains terrain|WIS	BONUS:SITUATION|Jump=Mountains terrain|WIS															SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Slow Breath	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a cloud anchorite's breathing slows to a fraction of what it used to be. She can hold her breath twice as long as normal, and gains a +2 bonus on all Fortitude saving throws against inhaled poisons, fatigue caused by high elevation, and altitude sickness. At 6th level, her bonus on these Fortitude saving throws increases to +6.	KEY:Cloud Anchorite ~ Slow Breath																										SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level and again at 7th level, a cloud anchorite gains a bonus feat. This feat must be selected from the following list, and she must qualify for any prerequisites the feat to be chosen might require: Acrobatic, Agile, Athletic, Cold Endurance, Endurance, Great Fortitude, Improved Cold Endurance, Self-Suffi cient, Skill Focus (in any class skill), or Track.	KEY:Cloud Anchorite ~ Bonus Feat				DEFINE:CloudAnchoriteBonusFeat|0					BONUS:ABILITYPOOL|Cloud Anchorite Feat|CloudAnchoriteBonusFeat	BONUS:VAR|CloudAnchoriteBonusFeat|(CloudAnchoriteLVL+1)/4																SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Resistance to Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 4th level, a cloud anchorite gains resistance to cold 5. This increases to resistance to cold 10 at 8th level.	KEY:Cloud Anchorite ~ Resistance to Cold				DEFINE:CloudAnchoriteColdResistance|0					BONUS:VAR|ColdResistanceBonus|CloudAnchoriteColdResistance|TYPE=Resistance	BONUS:VAR|CloudAnchoriteColdResistance|5|PREVARGTEQ:CloudAnchoriteLVL,4	BONUS:VAR|CloudAnchoriteColdResistance|5|PREVARGTEQ:CloudAnchoriteLVL,8															SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Fast Movement	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, a cloud anchorite gains a +10-foot enhancement bonus to her land speed. A cloud anchorite in armor (even light armor) or carrying a medium or heavy load loses this extra speed. At 8th level, this bonus increases to +20 feet.	KEY:Cloud Anchorite ~ Fast Movement				DEFINE:CloudAnchoriteFastMovement|0					BONUS:VAR|FastMovement|CloudAnchoriteFastMovement|TYPE=FastMovement	BONUS:VAR|CloudAnchoriteFastMovement|10*(CloudAnchoriteLVL/4)|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1								ABILITY:Special Ability|AUTOMATIC|Fast Movement								SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Empty Stride	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, a cloud anchorite's stride is nearly weightless. She gains a +4 bonus on all Balance checks. More impressively, she can walk on the surface of any material into which she would normally sink, such as powdery snow, thin ice, and even water. She may continue to walk on this surface as long as she makes a DC 15 Concentration check. Normally, the Concentration check for this activity is a standard action, so a cloud anchorite may make one move action per round while using her empty stride ability. If she makes a DC 30 Concentration check, she may concentrate on her Empty Stride ability as a move action instead, allowing her to use it and still take one standard action in a round. She does not trigger traps that use pressure plates while using empty stride, nor is her speed impacted by deep snow.	KEY:Cloud Anchorite ~ Empty Stride									BONUS:SKILL|Balance|4																	SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Acrobatic Charge	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 6th level, a cloud anchorite gains the ability to charge in situations where others cannot. She may charge over diffi cult terrain that normally slows movement. This enables her to run down steep rock faces, leap down from an outcropping, or tumble over small boulders to get to the target of her charge. Depending on the circumstances, she may still need to make appropriate checks (Jump or Tumble checks in particular) to successfully move over the terrain.	KEY:Cloud Anchorite ~ Acrobatic Charge																										SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
Walk on the Clouds	CATEGORY:Special Ability	TYPE:ClassFeatures.CloudAnchoriteClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 9th level, a cloud anchorite can use her empty stride ability as a free action at all times. Additionally, once per day she may use air walk as a quickened spell-like ability. This effect manifests at a caster level equal to her cloud anchorite level.	KEY:Cloud Anchorite ~ Walk on the Clouds																		SPELLS:Innate|TIMES=1|CASTERLEVEL=CloudAnchoriteLVL|Air Walk								SORTKEY:Class_Cloud_Anchorite	SOURCEPAGE:Fro	
