SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																																																													
																																																																
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								MONCSKILL:	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	CR:	SOURCEPAGE:	Innate Spells
Neanderthal			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid			MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Neanderthal										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Neanderthal Stats																														
Uldras			STARTFEATS:1	SIZE:S	TYPE:Fey	RACETYPE:Fey			MOVE:Walk,20						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Uldras										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:Fro	KIT:1|Uldras Stats																											LEVELADJUSTMENT:1			
																																																																
																																																																
###Block: Races																																																																
Branta			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Cold	MONSTERCLASS:Magical Beast:3	MOVE:Walk,50	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d8|Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d4				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Branta			BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Balance|Jump|Listen|Spot	CR:2	KIT:1|TN	HITDICEADVANCEMENT:6		LEGS:4	HANDS:0	SOURCEPAGE:Fro	KIT:1|Branta Stats																														
Chilblain			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Cold	MONSTERCLASS:Aberration:20	MOVE:Walk,30,Fly,60	BONUS:COMBAT|AC|23|TYPE=NaturalArmor	NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Cold,*4,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Chilblain	SR:29	DR:15/Silver	BONUS:STAT|STR|18	BONUS:STAT|DEX|6	BONUS:STAT|CON|14	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|9	MONCSKILL:Concentration|Intimidate|Listen|Spot	CR:18		HITDICEADVANCEMENT:30,45		LEGS:4	HANDS:4	SOURCEPAGE:Fro	KIT:1|Chilblain Stats																														
Dire Animal (Dire Polar Bear)			STARTFEATS:1	SIZE:H	TYPE:Animal	RACETYPE:Animal	RACESUBTYPE:Dire	MONSTERCLASS:Animal (Dire):18	MOVE:Walk,50,Swim,20	BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d8				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Polar Bear)			BONUS:STAT|STR|28		BONUS:STAT|CON|12	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2		MONCSKILL:Hide|Listen|Spot|Swim	CR:11	KIT:1|TN	HITDICEADVANCEMENT:36,45		LEGS:4	HANDS:3	SOURCEPAGE:Fro	KIT:1|Dire Animal (Dire Polar Bear) Stats																														
Glyptodon			STARTFEATS:1	SIZE:L	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:10	MOVE:Walk,20,Burrow,5	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Glyptodon		DR:5/Piercing	BONUS:STAT|STR|10	BONUS:STAT|DEX|-2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Listen|Spot|Swim	CR:5	KIT:1|TN	HITDICEADVANCEMENT:15,30		LEGS:4	HANDS:0	SOURCEPAGE:Fro	KIT:1|Glyptodon Stats																														
Megaloceros			STARTFEATS:1	SIZE:L	TYPE:Animal	RACETYPE:Animal		MONSTERCLASS:Animal:6	MOVE:Walk,40	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Megaloceros			BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-2	MONCSKILL:Listen|Spot	CR:4	KIT:1|TN	HITDICEADVANCEMENT:12,18		LEGS:4	HANDS:0	SOURCEPAGE:Fro	KIT:1|Megaloceros Stats																														
