SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-10																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Race Traits ~ Angel of Decay	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AngelOfDecayRaceTrait	AUTO:LANG|Common|Abyssal	BONUS:VAR|Maneuverability|1|TYPE=Base									BONUS:VAR|DarkvisionRange|60|TYPE=Base																		
Rotting Aura	CATEGORY:Special Ability	TYPE:AngelOfDecayRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When the creature is not fl ying, rivulets of vile corruption stream from an angel of decay’s body, constantly regenerating and renewing a pool of odiferous rot all around the creature. An angel of decay’s pool of rot is a 15-foot-radius spread. Any corporeal creature standing on the ground within that area must make a DC %1 Refl ex saving throw each round or take 5d6 points of damage (half that on a successful save) as its fl esh begins to succumb to decay. The creature must also succeed on a subsequent DC %1 Will saving throw (regardless of whether it succeeds on the fi rst save) or be nauseated for 1 round. In each round that a creature takes damage from an angel of decay’s rotting aura, the angel of decay heals 5 points of damage per victim.|RottingAuraDC	KEY:Angel of Decay ~ Rotting Aura				DEFINE:RottingAuraDC|0					BONUS:VAR|RottingAuraDC|DefaultDCCha	BONUS:VAR|RottingAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Rotting Aura)								ABILITY:Ability Focus|AUTOMATIC|Rotting Aura									SOURCEPAGE:LM
Rotting Touch	CATEGORY:Special Ability	TYPE:AngelOfDecayRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An angel of decay that hits a single foe with more than one attacks in a round rots its opponent’s fl esh. This effect automatically deals an extra 1d6+6 points of damage and heals the angel of decay of 5 points of damage.	KEY:Angel of Decay ~ Rotting Touch																											SOURCEPAGE:LM
Unholy Grace	CATEGORY:Special Ability	TYPE:AngelOfDecayRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An angel of decay adds its Charisma modifi er as a bonus on all its saving throws and as a defl ection bonus to its Armor Class. (The statistics block already refl ects these bonuses.)	KEY:Angel of Decay ~ Unholy Grace									BONUS:SAVE|ALL|CHA	BONUS:COMBAT|AC|CHA|TYPE=Deflection																	SOURCEPAGE:LM
																																
Race Traits ~ Atropal Scion	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AtropalScionRaceTrait	AUTO:LANG|Common|Abyssal|Infernal|Celestial	BONUS:VAR|Maneuverability|5|TYPE=Base									BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|FastHealing|8|TYPE=Base																	
Death Gaze	CATEGORY:Special Ability	TYPE:AtropalScionRaceTrait.SpecialAttack.Supernatural.Gaze	VISIBLE:YES	DESC:Death, range 60 feet, Fortitude DC %1 negates.The save DC is Charisma-based. Humanoids who die from this attack are transformed into wights 24 hours later.|DeathGazeDC	KEY:Death Gaze ~ Death Gaze				DEFINE:DeathGazeDC|0					BONUS:VAR|DeathGazeDC|DefaultDCCha	BONUS:VAR|DeathGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Gaze)								ABILITY:Ability Focus|AUTOMATIC|Death Gaze									SOURCEPAGE:LM
Negative Energy Aura	CATEGORY:Special Ability	TYPE:AtropalScionRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A 60-foot-radius negative energy aura surrounds an atropal scion. All undead in the aura (including the atropal scion) are treated as if they have +4 turn resistance and fast healing 5. Living creatures in the aura are treated as having two negative levels unless they have some sort of negative energy protection or protection from evil. Creatures with 2 or less HD fall dead in the negative energy aura (and, at the atropal scion’s option, rise as wights under the atropal scion’s command 1 minute later).	KEY:Atropal Scion ~ Negative Energy Aura																											SOURCEPAGE:LM
Rebuke Undead	CATEGORY:Special Ability	TYPE:AtropalScionRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An atropal scion can rebuke or command undead as a cleric of the same level as the atropal scion’s HD.	KEY:Atropal Scion ~ Rebuke Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|HD|TYPE=Level.REPLACE									ABILITY:Special Ability|AUTOMATIC|Basic Turning|Rebuke Undead									SOURCEPAGE:LM
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AtropalScionRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Atropal Scion ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=9|Animate Dead|Create Undead|Cone of Cold,13+CHA|Desecrate|Dispel Magic|Invisibility|Plane shift|Speak with Dead|Teleport									SOURCEPAGE:LM
