SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:		
Abeil (Vassal)			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Monstrous Humanoid:1	MOVE:Walk,30,Fly,60		NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d6,SPROP=Poison				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abeil (Vassal)				BONUS:STAT|DEX|2			BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2	MONCSKILL:TYPE.Craft|TYPE.Knowledge|Listen|Search|Survival	CR:2			LEVELADJUSTMENT:4	LEGS:6	HANDS:2	SOURCEPAGE:MM2	KIT:1|Abeil (Vassal) Stats	
Abeil (Soldier)			STARTFEATS:1	SIZE:L	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Monstrous Humanoid:6	MOVE:Walk,40,Fly,90		NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,1d8,SPROP=Poison				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abeil (Soldier)	DR:5/Magic		BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2	MONCSKILL:Listen|Sense Motive|Spot|Survival	CR:6			LEVELADJUSTMENT:5	LEGS:6	HANDS:2	SOURCEPAGE:MM2	KIT:1|Abeil (Soldier) Stats	
Abeil (Queen)			STARTFEATS:1	SIZE:M	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Abeil (Queen):14	MOVE:Walk,40,Fly,80		NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Sting,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d4,SPROP=Poison				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Abeil (Queen)	DR:10/Magic	SR:21	BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8	MONCSKILL:Concentration|Diplomacy|Intimidate|TYPE.Knowledge|Listen|Sense Motive|Spot|Survival	CR:12			LEVELADJUSTMENT:21	LEGS:6	HANDS:2	SOURCEPAGE:MM2	KIT:1|Abeil (Queen) Stats	
Ash Rat			STARTFEATS:1	SIZE:S	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Fire	MONSTERCLASS:Magical Beast:1	MOVE:Walk,40,Climb,20	BONUS:COMBAT|AC|1|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1,SPROP=Poison|Flame Spit,Weapon.Natural.Finesseable.Ranged,*1,0,SPROP=Flame Spit				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ash Rat			BONUS:STAT|STR|-4	BONUS:STAT|DEX|8		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8	MONCSKILL:Climb|Hide|Move Silently	CR:1	KIT:1|CN	HITDICEADVANCEMENT:3		LEGS:4	HANDS:0	SOURCEPAGE:MM2	KIT:1|Ash Rat Stats	
Asperi			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast	RACESUBTYPE:Cold	MONSTERCLASS:Magical Beast:4	MOVE:Walk,60,Fly,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Hoof,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Asperi			BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|2		MONCSKILL:Intimidate|Listen|Spot|Survival	CR:4	KIT:1|NG	HITDICEADVANCEMENT:6		LEGS:4	HANDS:0	SOURCEPAGE:MM2	KIT:1|Asperi Stats	
Automaton (Pulverizer)				SIZE:M	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):3	MOVE:Walk,40	BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Automaton (Pulverizer)			BONUS:STAT|STR|10				BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6		CR:4	KIT:1|TN	HITDICEADVANCEMENT:8,9		LEGS:4	HANDS:0	SOURCEPAGE:MM2	KIT:1|Automaton (Pulverizer) Stats	
Automaton (Hammerer)				SIZE:M	TYPE:Construct	RACETYPE:Construct		MONSTERCLASS:Construct (Mindless):5	MOVE:Walk,20	BONUS:COMBAT|AC|11|TYPE=NaturalArmor	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Automaton (Hammerer)			BONUS:STAT|STR|14				BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6		CR:4	KIT:1|TN	HITDICEADVANCEMENT:8,15		LEGS:4	HANDS:0	SOURCEPAGE:MM2	KIT:1|Automaton (Hammerer) Stats	
Avolakia			STARTFEATS:1	SIZE:L	TYPE:Aberration	RACETYPE:Aberration	RACESUBTYPE:Shapechanger	MONSTERCLASS:Aberration:10	MOVE:Walk,20		NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,2d6,SPROP=Poison|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*8,1d4				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Avolakia		SR:21	BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|6	BONUS:STAT|INT|6	BONUS:STAT|WIS|10	BONUS:STAT|CHA|12	MONCSKILL:Bluff|Concentration|Diplomacy|Intimidate|Sense Motive|Spellcraft	CR:10			LEVELADJUSTMENT:5	LEGS:0	HANDS:8	SOURCEPAGE:MM2	KIT:1|Avolakia Stats	
Banshee			STARTFEATS:1	SIZE:M	TYPE:Undead	RACETYPE:Undead	RACESUBTYPE:Incorporeal	MONSTERCLASS:Undead:26	MOVE:Fly,80		NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Touch,*1,1d8,SPROP=+1d4 CHA drain				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Banshee		SR:28		BONUS:STAT|DEX|6		BONUS:STAT|INT|6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|6	MONCSKILL:Balance|Hide|Jump|TYPE.Knowledge|Listen|Search|Spot|Tumble	CR:17		HITDICEADVANCEMENT:52		LEGS:2	HANDS:2	SOURCEPAGE:MM2	KIT:1|Banshee Stats	
Bladeling		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Lawful	MONSTERCLASS:Outsider:1	MOVE:Walk,30	BONUS:COMBAT|AC|4|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Bladeling	DR:5/Magic and Bludgeoning			BONUS:STAT|DEX|2					MONCSKILL:Craft (Weaponsmithing)|Hide|Jump|Knowledge (The Planes)|Listen|Spot	CR:1	KIT:1|LG|LN|LE		LEVELADJUSTMENT:2	LEGS:2	HANDS:2	SOURCEPAGE:MM2	KIT:1|Bladeling Stats	
Blood Ape			STARTFEATS:1	SIZE:L	TYPE:Magical Beast	RACETYPE:Magical Beast		MONSTERCLASS:Magical Beast:4	MOVE:Walk,30,Climb,30	BONUS:COMBAT|AC|3|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8				FACE:10	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Blood Ape			BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4	MONCSKILL:Climb|Listen|Spot	CR:6		HITDICEADVANCEMENT:8,12		LEGS:2	HANDS:2	SOURCEPAGE:MM2	KIT:1|Blood Ape Stats	
