SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Race Traits ~ Armand	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Armand Racial Traits	ABILITY:Armand Subrace|AUTOMATIC|Armand ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Changeling	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Changeling Racial Traits	ABILITY:Changeling Subrace|AUTOMATIC|Changeling ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Dracotaur	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Dracotaur Racial Traits	ABILITY:Dracotaur Subrace|AUTOMATIC|Dracotaur ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Giant (Sand)	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Giant (Sand) Racial Traits	ABILITY:Giant (Sand) Subrace|AUTOMATIC|Giant (Sand) ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Kenku	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Kenku Racial Traits	ABILITY:Kenku Subrace|AUTOMATIC|Kenku ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Shifter	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Shifter Racial Traits	ABILITY:Shifter Subrace|AUTOMATIC|Shifter ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Warforged	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1									BONUS:SLOTS|WARFORGEDBODY|1	BONUS:SLOTS|BODY|-1								ABILITY:Special Ability|AUTOMATIC|Warforged Racial Traits	ABILITY:Warforged Subrace|AUTOMATIC|Warforged ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice	AUTO:ARMORPROF|Warforged Body								
																																	
###Block: Racial Assigned (assigned by race trait)																																	
Armand Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Armand Racial Traits																												
Changeling Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Changeling Racial Traits																												
Dracotaur Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Dracotaur Racial Traits																												
Giant (Sand) Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Giant (Sand) Racial Traits																												
Kenku Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Kenku Racial Traits																												
