SOURCELONG:Monster Manual 3	SOURCESHORT:MM3	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																																
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:	BONUS:COMBAT|AC|	NATURALATTACKS:				FACE:	REACH:	ABILITY:Internal|AUTOMATIC|Race Traits ~ 			Stat bonus						MONCSKILL:	CR:	KIT:1|	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	LEGS:	HANDS:	SOURCEPAGE:MM3	KIT:1|	
Armand			STARTFEATS:1	SIZE:S	TYPE:Monstrous Humanoid	RACETYPE:Monstrous Humanoid		MONSTERCLASS:Monstrous Humanoid:5	MOVE:Walk,20,Burrow,10		NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Armand										CR:3				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Armand Stats	
Changeling			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Shapechanger	MONSTERCLASS:Humanoid:1	MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Changeling										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Changeling Stats	
Dracotaur			STARTFEATS:1	SIZE:L	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:3	MOVE:Walk,50		NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8|Tail Slap,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8				FACE:10	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dracotaur									MONCSKILL:Balance|Intimidate|Jump|Knowledge (Arcana)|Listen|Sense Motive|Spellcraft|Spot|Survival|Swim|Use Magic Device	CR:3				LEGS:4	HANDS:2	SOURCEPAGE:MM3	KIT:1|Dracotaur Stats	
Giant (Sand)			STARTFEATS:1	SIZE:L	TYPE:Giant	RACETYPE:Giant	RACESUBTYPE:Earth|Fire	MONSTERCLASS:Giant:15	MOVE:Walk,40,Burrow,10						FACE:15	REACH:15	ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant (Sand)									MONCSKILL:Hide|Knowledge (Nature)|Listen|Spot|Survival	CR:10				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Giant (Sand) Stats	
Kenku			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Kenku	MONSTERCLASS:Humanoid:1	MOVE:Walk,30		NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Kenku										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Kenku Stats	
Shifter			STARTFEATS:1	SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Shapechanger	MONSTERCLASS:Humanoid:1	MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Shifter									MONCSKILL:Balance|Climb|Jump|Listen|Spot	CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Shifter Stats	
Warforged			STARTFEATS:1	SIZE:M	TYPE:Construct	RACETYPE:Construct	RACESUBTYPE:Living Construct	MONSTERCLASS:Construct:1	MOVE:Walk,30						FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Warforged										CR:1/2				LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Warforged Stats	
																																			
###Block: Races																																			
Ambush Drake			STARTFEATS:1	SIZE:M	TYPE:Dragon	RACETYPE:Dragon		MONSTERCLASS:Dragon:7	MOVE:Walk,40,Fly,30	BONUS:COMBAT|AC|6|TYPE=NaturalArmor	NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Bludgeoning,*1,1d8,SPROP=Poison|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ambush Drake	SR:16		BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-4		BONUS:STAT|CHA|-2	MONCSKILL:Hide|Listen|Move Silently|Spot	CR:5		HITDICEADVANCEMENT:14,21		LEGS:4	HANDS:0	SOURCEPAGE:MM3	KIT:1|Ambush Drake Stats	
Ooze (Arcane Ooze)				SIZE:H	TYPE:Ooze	RACETYPE:Ooze		MONSTERCLASS:Ooze:15	MOVE:Walk,20,Climb,20		NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6,SPROP=+2d6 Acid				FACE:15	REACH:10	ABILITY:Internal|AUTOMATIC|Race Traits ~ Ooze (Arcane Ooze)			BONUS:STAT|STR|12	BONUS:STAT|DEX|-10	BONUS:STAT|CON|16			BONUS:STAT|CHA|-10	MONCSKILL:Climb	CR:9	KIT:1|TN	HITDICEADVANCEMENT:30,45		LEGS:0	HANDS:0	SOURCEPAGE:MM3	KIT:1|Ooze (Arcane Ooze) Stats	
Astral Stalker			STARTFEATS:1	SIZE:M	TYPE:Outsider	RACETYPE:Outsider	RACESUBTYPE:Extraplanar	MONSTERCLASS:Outsider:12	MOVE:Walk,50,Climb,20	BONUS:COMBAT|AC|10|TYPE=NaturalArmor	NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6				FACE:5	REACH:5	ABILITY:Internal|AUTOMATIC|Race Traits ~ Astral Stalker		DR:10/Magic	BONUS:STAT|STR|14	BONUS:STAT|DEX|10	BONUS:STAT|CON|12	BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10	MONCSKILL:Climb|Hide|Jump|Listen|Move Silently|Search|Sense Motive|Spot|Survival	CR:12	KIT:1|LE		LEVELADJUSTMENT:6	LEGS:2	HANDS:2	SOURCEPAGE:MM3	KIT:1|Astral Stalker Stats	
