SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Portal Sense	CATEGORY:ACF	TYPE:AlternateClass.BarbarianTrapSense	VISIBLE:YES	DESC:Portal sense.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Barbarian=3																ABILITY:Alternate Class Feature|AUTOMATIC|Portal Sense ~ Portal Sense|PREVARGTEQ:BarbarianLVL,3	ABILITY:Alternate Class Feature|AUTOMATIC|Portal Sense ~ Portal Sense|PREVARGTEQ:BarbarianLVL,6						COST:0	SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Portal Sense	CATEGORY:ACF	TYPE:AlternateClassFeatures.BarbarianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The barbarian's raw instincts provide him with a supernatural sense concerning portals, planar breaches, and other passages between planes. A barbarian who takes the 3rd-level planar substitution level instantly becomes aware of any portal within 30 feet of his location, even if such a portal is normally invisible. In a sense, the barbarian seems to "sniff" out the portal. If the barbarian spends a few rounds "sniffing" around (taking a standard action each round to do so), he learns additional information about the portal (the rounds spent analyzing the portal need not be consecutive): Round 1: Whether the portal is one-way or two-way. Round 2: Any special circumstances governing the portal's use, such as knowing that it can be activated only at specific times of the day (but not what those times are) or if a special key or command word is needed to activate the portal (but not what that key or command word is). Round 3: A brief sense of the area the portal leads to; essentially, the barbarian gains as much information as if he were allowed to see the portal's destination for 10 seconds, without the benefi t of any other sense or analysis.	KEY:Portal Sense ~ Portal Sense																										SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Trap Sense	CATEGORY:ACF	TYPE:AlternateClassFeatures.BarbarianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Starting at 6th level, a barbarian has an intuitive sense that alerts him to danger from traps, giving him a +1 bonus on Reflex saves made to avoid traps and a +1 dodge bonus to AC against attacks made by traps. These bonuses rise by +1 every three barbarian levels thereafter (9th, 12th, 15th, and 18th level). Trap sense bonuses gained from multiple classes stack.	KEY:Portal Sense ~ Portal Sense									BONUS:VAR|TrapSenseBonus|(BarbarianLVL/3)-1									ABILITY:Special Ability|AUTOMATIC|Trap Sense								SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Planar Damage Reduction	CATEGORY:ACF	TYPE:AlternateClass.BarbarianDR	VISIBLE:YES	DESC:Planar Damage Reduction.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Barbarian=7																ABILITY:Alternate Class Feature|AUTOMATIC|Planar Damage Reduction ~ Planar Damage Reduction|PREVARGTEQ:BarbarianLVL,7	ABILITY:Alternate Class Feature|AUTOMATIC|Planar Damage Reduction ~ Damage Reduction|PREVARGTEQ:BarbarianLVL,10						COST:0	SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Planar Damage Reduction	CATEGORY:ACF	TYPE:AlternateClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The barbarian toughens his body against injuries perpetrated by unnatural creatures. A barbarian who takes the 7th-level planar substitution level gains the ability to shrug off some additional amount of injury from each blow or attack made by an outsider or extraplanar creature. Subtract 2 points from the damage the barbarian takes each time he is dealt damage from a weapon or a natural attack made by an outsider or extraplanar creature. In effect, this benefit grants damage reduction 2/- against the attacks of outsiders or extraplanar creatures. However, the planar damage reduction value stacks with the barbarian's damage reduction against attacks from outsiders or extraplanar creatures.	KEY:Planar Damage Reduction ~ Planar Damage Reduction																										SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Damage Reduction	CATEGORY:ACF	TYPE:AlternateClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, a barbarian gains the ability to shrug off some amount of injury from each blow or attack. Subtract 1 from the damage the barbarian takes each time he is dealt damage from a weapon or a natural attack. At 13th level, and every three barbarian levels thereafter (16th, and 19th level), this damage reduction rises by 1 point. Damage reduction can reduce damage to 0 but not below 0.	KEY:Planar Damage Reduction ~ Damage Reduction				DEFINE:BarbarianDR|0					BONUS:VAR|BarbarianDR|((BarbarianLVL-4)/3)-1									DR:BarbarianDR/-								SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Menacing Rage	CATEGORY:ACF	TYPE:AlternateClass.BarbarianGreaterRage.BarbarianMightyRage	VISIBLE:YES	DESC:Menacing Rage.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Barbarian=11																ABILITY:Alternate Class Feature|AUTOMATIC|Menacing Rage ~ Menacing Rage|PREVARGTEQ:BarbarianLVL,11	ABILITY:Alternate Class Feature|AUTOMATIC|Menacing Rage ~ Greater Rage|PREVARGTEQ:BarbarianLVL,20						COST:0	SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Menacing Rage	CATEGORY:ACF	TYPE:AlternateClassFeatures.BarbarianClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The barbarian gains an especially potent fury against unnatural creatures not native to the Material Plane. A barbarian who takes the 11thlevel planar substitution level generates an intangible aura of danger whenever he rages. This aura weakens hostile outsiders and creatures with the extraplanar subtype within 20 feet. Any outsider or extraplanar creature within that area must attempt a Will save (DC 10 + 1/2 barbarian's class level + barbarian's Con modifier). Those who fail the saving throw take a -2 penalty on attack rolls, checks, and saves against the barbarian for 24 hours. This is a mind-affecting ability. A creature that makes its initial save is not affected by that same barbarian's menacing rage for 24 hours.	KEY:Menacing Rage ~ Menacing Rage	DESC:Will DC %1.|MenacingRageDC			DEFINE:MenacingRageDC|0					BONUS:VAR|MenacingRageDC|10+(BarbarianLVL/3)+CON																	SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Greater Rage	CATEGORY:ACF	TYPE:AlternateClassFeatures.BarbarianClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 20th level, a barbarian's bonuses to Strength and Constitution during his rage each increase to +6, and his morale bonus on Will saves increases to +3. The penalty to AC remains at -2.	KEY:Menacing Rage ~ Greater Rage				DEFINE:GreaterRage|0					BONUS:VAR|GreaterRage|1|PREVARGTEQ:BarbarianRagePowerLVL,20																	SORTKEY:Class_Barbarian	SOURCEPAGE:PH	
Planar Inspiration	CATEGORY:ACF	TYPE:AlternateClass.BardicMusicInspireCompetence	VISIBLE:YES	DESC:Planar Inspiration.		PREMULT:1,[PRESKILL:1,Knowledge (The Planes)=1],[PREABILITY:1,CATEGORY=FEAT,TYPE.Heritage],[PRERACE:1,RACESUBTYPE:Extraplanar]	PRECLASS:1,Bard=3																ABILITY:Alternate Class Feature|AUTOMATIC|Planar Inspiration ~ Planar Inspiration|PREVARGTEQ:BardLVL,3|PREVARGTEQ:BardicMusicLVL,3|PRESKILL:1,TYPE.Perform=6							COST:0	SORTKEY:Class_Bard	SOURCEPAGE:PH	
