SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Reduce leveladjustment by -1	CATEGORY:Special Ability	TYPE:GM_Award	VISIBLE:DISPLAY	DESC:GM awarded PC with -1 Level adjustment.	TEMPLATE:Level Adjustment Buy down 1		SORTKEY:Z_Award	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Reduce leveladjustment by -2	CATEGORY:Special Ability	TYPE:GM_Award	VISIBLE:DISPLAY	DESC:GM awarded PC with -2 Level adjustment.	TEMPLATE:Level Adjustment Buy down 2		SORTKEY:Z_Award	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Reduce leveladjustment by -3	CATEGORY:Special Ability	TYPE:GM_Award	VISIBLE:DISPLAY	DESC:GM awarded PC with -3 Level adjustment.	TEMPLATE:Level Adjustment Buy down 3		SORTKEY:Z_Award	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Reduce leveladjustment by -4	CATEGORY:Special Ability	TYPE:GM_Award	VISIBLE:DISPLAY	DESC:GM awarded PC with -4 Level adjustment.	TEMPLATE:Level Adjustment Buy down 4		SORTKEY:Z_Award	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Reduce leveladjustment by -5	CATEGORY:Special Ability	TYPE:GM_Award	VISIBLE:DISPLAY	DESC:GM awarded PC with -5 Level adjustment.	TEMPLATE:Level Adjustment Buy down 5		SORTKEY:Z_Award	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Reduce leveladjustment by -6	CATEGORY:Special Ability	TYPE:GM_Award	VISIBLE:DISPLAY	DESC:GM awarded PC with -6 Level adjustment.	TEMPLATE:Level Adjustment Buy down 6		SORTKEY:Z_Award	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Reduce leveladjustment by -7	CATEGORY:Special Ability	TYPE:GM_Award	VISIBLE:DISPLAY	DESC:GM awarded PC with -7 Level adjustment.	TEMPLATE:Level Adjustment Buy down 7		SORTKEY:Z_Award	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Reduce leveladjustment by -8	CATEGORY:Special Ability	TYPE:GM_Award	VISIBLE:DISPLAY	DESC:GM awarded PC with -8 Level adjustment.	TEMPLATE:Level Adjustment Buy down 8		SORTKEY:Z_Award	COST:0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
