SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02												
#															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE			
# Class Name req	Requirements	FINE													
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS			
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	SPELLLIST	spell level increases (BONUS:CASTERLEVEL)									
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)					
CLASS:Bloodline	TYPE:Bloodline	MAXLEVEL:3	DEFINE:BloodlineLVL|0	BONUS:VAR|BloodlineLVL|CL											
1:REPEATLEVEL:1	DONOTADD:HITDIE|SKILLPOINTS	BONUS:CASTERLEVEL|ALLSPELLS|1													
															
CLASS:Drow Paragon	HD:6	TYPE:PC.Base.Paragon	FACT:Abb|PDr	MAXLEVEL:3	SOURCEPAGE:UA	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|PC		DEFINE:ParagonDrowLVL|0	BONUS:VAR|ParagonDrowLVL|CL		BONUS:VAR|ClassBABAverage|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Drow Paragon	PRERACE:1,Elf	PREABILITY:1,CATEGORY=Internal,Elf ~ Drow	!PRECLASS:1,Elf Paragon=1												
CLASS:Drow Paragon	STARTSKILLPTS:4	CSKILL:Climb|TYPE.Craft|Hide|Intimidate|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Profession|Spellcraft|Spot|Survival|Swim													
1				ABILITY:Paragon Drow Class Feature|AUTOMATIC|Paragon Drow ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDrowProficiencies											
#															
1				ABILITY:Paragon Drow Class Feature|AUTOMATIC|Paragon Drow ~ Spells per Day											
1				ABILITY:Paragon Drow Class Feature|AUTOMATIC|Paragon Drow ~ Improved Spell-Like Abilities|!PREABILITY:1,CATEGORY=ACF,TYPE.ParagonDrowImprovedSpellLikeAbilities											
