SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																								
#																																											
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
Urban Tracking	CATEGORY:FEAT	TYPE:General.Thug	VISIBLE:YES																						DESC:To fi nd the trail of an individual or to follow it for 1 hour requires a Gather Information check. You must make another Gather Information check every hour of the search, as well as each time the trail becomes diffi cult to follow, such as when it moves to a different area of town. The DC of the check, and the number of checks required to track down your quarry, depends on the community size and the conditions: If you fail a Gather Information check, you can retry after 1 hour of questioning. The DM should roll the number of checks required secretly, so that the player doesn't know exactly how long the task will require.																	SOURCEPAGE:UA, pag. 56	
																																											
# Monk Abilities																																											
Mobility	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL2	VISIBLE:DISPLAY		KEY:Monk ~ Mobility																		ABILITY:FEAT|AUTOMATIC|Mobility								SORTKEY:Class_Monk	SOURCEPAGE:UA											
Lightning Reflexes	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL2	VISIBLE:DISPLAY		KEY:Monk ~ Lightning Reflexes																		ABILITY:FEAT|AUTOMATIC|Lightning Reflexes								SORTKEY:Class_Monk	SOURCEPAGE:UA											
Improved Bull Rush	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL2	VISIBLE:DISPLAY		KEY:Monk ~ Improved Bull Rush																		ABILITY:FEAT|AUTOMATIC|Improved Bull Rush								SORTKEY:Class_Monk	SOURCEPAGE:UA											
Improved Initiative	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL2	VISIBLE:DISPLAY		KEY:Monk ~ Improved Initiative																		ABILITY:FEAT|AUTOMATIC|Improved Initiative								SORTKEY:Class_Monk	SOURCEPAGE:UA											
Spring Attack	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL6	VISIBLE:DISPLAY		KEY:Monk ~ Mobility																		ABILITY:FEAT|AUTOMATIC|Spring Attack								SORTKEY:Class_Monk	SOURCEPAGE:UA											
Blind-Fight	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL6	VISIBLE:DISPLAY		KEY:Monk ~ Blind-Fight																		ABILITY:FEAT|AUTOMATIC|Blind-Fight								SORTKEY:Class_Monk	SOURCEPAGE:UA											
Improved Overrun	CATEGORY:Special Ability	TYPE:MonkBonusFeatLVL6	VISIBLE:DISPLAY		KEY:Monk ~ Improved Overrun																		ABILITY:FEAT|AUTOMATIC|Improved Overrun								SORTKEY:Class_Monk	SOURCEPAGE:UA											
