SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																						
#																									
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus
Detect Chaos.MOD	CLASSES:Bardic Sage=1																								
Detect Evil.MOD	CLASSES:Bardic Sage=1																								
Detect Good.MOD	CLASSES:Bardic Sage=1																								
Detect Law.MOD	CLASSES:Bardic Sage=1																								
Zone of Truth.MOD	CLASSES:Bardic Sage=2																								
Arcane Sight.MOD	CLASSES:Bardic Sage=3																								
Analyze Dweomer.MOD	CLASSES:Bardic Sage=4																								
Sending.MOD	CLASSES:Bardic Sage=4																								
Contact Other Plane.MOD	CLASSES:Bardic Sage=5																								
Scrying (Greater).MOD	CLASSES:Bardic Sage=5																								
True Seeing.MOD	CLASSES:Bardic Sage=6																								
Vision.MOD	CLASSES:Bardic Sage=6																								
Create Water.MOD	CLASSES:Divine Bard=0																								
Cure Minor Wounds.MOD	CLASSES:Divine Bard=0																								
Detect Evil.MOD	CLASSES:Divine Bard=1																								
Detect Good.MOD	CLASSES:Divine Bard=1																								
Detect Law.MOD	CLASSES:Divine Bard=1																								
Protection from Evil.MOD	CLASSES:Divine Bard=1																								
Protection from Good.MOD	CLASSES:Divine Bard=1																								
Protection from Law.MOD	CLASSES:Divine Bard=1																								
Consecrate.MOD	CLASSES:Divine Bard=2																								
Desecrate.MOD	CLASSES:Divine Bard=2																								
Gentle Repose.MOD	CLASSES:Divine Bard=2																								
Magic Circle against Evil.MOD	CLASSES:Divine Bard=3																								
Magic Circle against Good.MOD	CLASSES:Divine Bard=3																								
Magic Circle against Law.MOD	CLASSES:Divine Bard=3																								
Prayer.MOD	CLASSES:Divine Bard=3																								
Remove Disease.MOD	CLASSES:Divine Bard=4																								
Speak with Dead.MOD	CLASSES:Divine Bard=4																								
Sending.MOD	CLASSES:Divine Bard=4																								
Divination.MOD	CLASSES:Divine Bard=5																								
Restoration.MOD	CLASSES:Divine Bard=5																								
Commune.MOD	CLASSES:Divine Bard=6																								
Hallow.MOD	CLASSES:Divine Bard=6																								
Unhallow.MOD	CLASSES:Divine Bard=6																								
Raise Dead.MOD	CLASSES:Divine Bard=6																								
Calm Animals.MOD	CLASSES:Savage Bard=1																								
Detect Snares and Pits.MOD	CLASSES:Savage Bard=1																								
Endure Elements.MOD	CLASSES:Savage Bard=1																								
Summon Nature's Ally I.MOD	CLASSES:Savage Bard=1																								
Bull's Strength.MOD	CLASSES:Savage Bard=2																								
Pass without Trace.MOD	CLASSES:Savage Bard=2																								
Summon Nature's Ally II.MOD	CLASSES:Savage Bard=2																								
Snare.MOD	CLASSES:Savage Bard=3																								
Summon Nature's Ally III.MOD	CLASSES:Savage Bard=3																								
Insect Plague.MOD	CLASSES:Savage Bard=4																								
Summon Nature's Ally IV.MOD	CLASSES:Savage Bard=4																								
Commune with Nature.MOD	CLASSES:Savage Bard=5																								
Summon Nature's Ally V.MOD	CLASSES:Savage Bard=5																								
Creeping Doom.MOD	CLASSES:Savage Bard=6																								
Reincarnate.MOD	CLASSES:Savage Bard=6																								
Summon Nature's Ally VI.MOD	CLASSES:Savage Bard=6																								
Message.MOD	CLASSES:Cloistered Cleric=0																								
Erase.MOD	CLASSES:Cloistered Cleric=1																								
Identify.MOD	CLASSES:Cloistered Cleric=1																								
Unseen Servant.MOD	CLASSES:Cloistered Cleric=1																								
Fox's Cunning.MOD	CLASSES:Cloistered Cleric=2																								
Illusory Script.MOD	CLASSES:Cloistered Cleric=3																								
Secret Page.MOD	CLASSES:Cloistered Cleric=3																								
Tongues.MOD	CLASSES:Cloistered Cleric=3																								
Detect Scrying.MOD	CLASSES:Cloistered Cleric=4																								
analyze Dweomer.MOD	CLASSES:Cloistered Cleric=6																								
Sequester.MOD	CLASSES:Cloistered Cleric=7																								
Vision.MOD	CLASSES:Cloistered Cleric=9																								
Protection from Law.MOD	CLASSES:Paladin of Freedom=1																								
Magic Circle against Law.MOD	CLASSES:Paladin of Freedom=3																								
Remove Curse.MOD	CLASSES:Paladin of Freedom=3																								
Dispel Law.MOD	CLASSES:Paladin of Freedom=4																								
Freedom of Movement.MOD	CLASSES:Paladin of Freedom=4																								
Bane.MOD	CLASSES:Paladin of Slaughter=1																								
Cause Fear.MOD	CLASSES:Paladin of Slaughter=1																								
Corrupt Weapon.MOD	CLASSES:Paladin of Slaughter=1																								
