SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																		
																																					
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page					
# Subraces																																					
# Base Races (assigned by race trait)																																					
																																					
###TODO: + racial stat modifiers																																					
Aquatic	CATEGORY:Internal	TYPE:DwarfSubrace.AltSubraceChoice		DESC:Beneath the waves, dwarves remain the masters of stone. They build massive, elaborate fortresses near the mineral-rich waters that surround undersea thermal vents.	KEY:Dwarf ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Dwarf ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|DEX|-4|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits						TEMPLATE:Aquatic Dwarf	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDarkvision	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stonecunning|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStonecunning	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfWeaponFamiliarity	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Stability|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfStability	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Poison Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfPoisonSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Spell Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfSpellSaveBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfCombatBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfDodgeGiantBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Appraise Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfAppraiseSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Craft Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfCraftSkillBonus	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfLanguages	ABILITY:Dwarf Race Trait|AUTOMATIC|Dwarf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.DwarfFavoredClass	SOURCEPAGE:UA	
Aquatic	CATEGORY:Internal	TYPE:GnomeSubrace.AltSubraceChoice.GnomeAttacksBonus.GnomeRacialAlchemySkill.GnomeRacialListenSkill		DESC:Aquatic gnomes travel the world beneath the waves in elaborate wood and shell chariots pulled by domesticated sea creatures. Their vehicles range in size from single-person launches to those large enough to house several families.	KEY:Gnome ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Gnome ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Aquatic Gnome	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeRacialVision	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Weapon Familiarity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeWeaponFamiliarity	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Illusion Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSaveBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Racial School DC Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeIllusionDC	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Dodge Giant Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeDodgeBonus	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Spell-Like Abilities|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeSpellLikeAbilities	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeLanguages	ABILITY:Gnome Race Trait|AUTOMATIC|Gnome ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GnomeFavoredClass	ABILITY:Gnome Race Trait|AUTOMATIC|Aquatic Gnome ~ Combat Bonus|Aquatic Gnome ~ Well Traveled	SOURCEPAGE:UA				
Aquatic	CATEGORY:Internal	TYPE:GoblinSubrace.AltSubraceChoice.GoblinRacialRideSkill		DESC:Aquatic goblins are feared and reviled as ocean-dwelling piranhas. A band of aquatic goblins and their shark mounts is likely to swoop down on any individual or group perceived as weak, to strip it of everything from gold and jewelry to clothing and hides. Leaving a trail of junk behind them as they evaluate their loot, the bandits swim off in search of other unlucky victims. Aquatic goblins to take up adventuring for many reasons. While most goblins are neutral evil, many have different beliefs and seek like-minded individuals outside the tribe. Some lack opportunities to advance, and tire of living on the scraps of those with more authority or higher social position.	KEY:Goblin ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Goblin ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CON|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Aquatic Goblin	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinDarkvision	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Move Silently Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinRacialMoveSilentlySkill	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinLanguages	ABILITY:Goblin Race Trait|AUTOMATIC|Goblin ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.GoblinFavoredClass	ABILITY:Goblin Race Trait|AUTOMATIC|Aquatic Goblin ~ Thievery|Aquatic Goblin ~ Ride Skill Bonus				SOURCEPAGE:UA					
Aquatic	CATEGORY:Internal	TYPE:HalfElfSubrace.AltSubraceChoice.HalfElf2SkillBonus		DESC:Aquatic elves sometimes wed aquatic humans, just as land-based elves sometimes marry surface-dwelling humans. The aquatic results are aquatic half-elf children. They often serve as the diplomats and negotiators for either their human or elf communities, depending on where they live.	KEY:Half-Elf ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Half-Elf ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0																TEMPLATE:Aquatic Half-Elf	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Racial Immunity|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfRacialImmunity	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Low-Light Vision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfLowLightVision	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfSkillBonus	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Elven Blood|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfElvenBlood	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfLanguages	ABILITY:Half-Elf Race Trait|AUTOMATIC|Half-Elf ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfElfFavoredClass	ABILITY:Half-Elf Race Trait|AUTOMATIC|Aquatic Half-Elf ~ Diplomacy Skill Bonus|Aquatic Half-Elf ~ Survival Skill Bonus		SOURCEPAGE:UA					
Aquatic	CATEGORY:Internal	TYPE:HalfOrcSubrace.AltSubraceChoice		DESC:In their remote and wild tribal homes, aquatic orcs occasionally coexist with barbarian tribes of aquatic humans. Sometimes the two groups intermarry, producing aquatic half-orcs.	KEY:Half-Orc ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Half-Orc ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|STR|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|INT|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|CHA|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits							TEMPLATE:Aquatic Half-Orc	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Darkvision|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcDarkvision	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Orc Blood|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcOrcBlood	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcLanguages	ABILITY:Half-Orc Race Trait|AUTOMATIC|Half-Orc ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalfOrcFavoredClass	ABILITY:Half-Orc Race Trait|AUTOMATIC|Aquatic Half-Orc ~ Emissaries				SOURCEPAGE:UA					
Aquatic	CATEGORY:Internal	TYPE:HalflingSubrace.AltSubraceChoice		DESC:Aquatic halflings are much more settled than their surfacedwelling cousins. Their slight size means they are easily buffeted by currents that flow beneath the waves like the rivers of the surface world. Many predatory creatures think nothing of swooping down on such small prey. As a result, aquatic halflings often live among dwarves and humans, within the defenses those races provide.	KEY:Halfling ~ Aquatic	PREMULT:1,[PREABILITY:1,CATEGORY=Internal,Halfling ~ Aquatic],[!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice]	COST:0							BONUS:STAT|DEX|2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits	BONUS:STAT|STR|-2|TYPE=Racial|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits								TEMPLATE:Aquatic Halfling	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Fear Save Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFearSaveBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Combat Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingCombatBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Listen Skill Bonus|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingListenSkillBonus	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Languages|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingLanguages	ABILITY:Halfling Race Trait|AUTOMATIC|Halfling ~ Favored Class|!PREABILITY:1,CATEGORY=Special Ability,TYPE.DisableRacialTraits,TYPE.HalflingFavoredClass	ABILITY:Halfling Race Trait|AUTOMATIC|Aquatic Halfling ~ Low-Light Vision	SOURCEPAGE:UA					
