SOURCELONG:Gozzilioni Seafarer's Handbook	SOURCESHORT:SsH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
		
# Armor Name	Type
Soft Kelp	TYPE:AquaticLight.ArmorProfAquaticLight
Stiffened Kelp	TYPE:AquaticLight.ArmorProfAquaticLight
Light Scale	TYPE:AquaticLight.ArmorProfAquaticLight
Bone Mail	TYPE:AquaticLight.ArmorProfAquaticLight
		
#Medium Armor		
Medium Scale	TYPE:AquaticMedium.ArmorProfAquaticMedium
Small Shell	TYPE:AquaticMedium.ArmorProfAquaticMedium
		
#Heavy Armor		
Large Shell	TYPE:AquaticHeavy.ArmorProfAquaticHeavy
Heavy Scale	TYPE:AquaticHeavy.ArmorProfAquaticHeavy
		
#		
# end		
#		
