SOURCELONG:Gozzilioni Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																
#																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
###Block: Alternate class																																
Sea Druid	CATEGORY:ACF	TYPE:ACF.SeaDruid.SpecialQuality.DruidNatureSense.DruidWoodlandStride.DruidTracklessStep	VISIBLE:YES		KEY:Druid ~ Sea Druid																		ABILITY:Druid Class Feature|AUTOMATIC|Sea Druid ~ Bonus Languages|PREVARGTEQ:DruidLVL,1	ABILITY:Druid Class Feature|AUTOMATIC|Sea Druid ~ Nature Sense|PREVARGTEQ:DruidLVL,1	ABILITY:Druid Class Feature|AUTOMATIC|Sea Druid ~ Speed of the Fish|PREVARGTEQ:DruidLVL,2	ABILITY:Druid Class Feature|AUTOMATIC|Sea Druid ~ Salt Synthesis|PREVARGTEQ:DruidLVL,3				COST:0		SOURCEPAGE:SoB
																																
###Block: Alternate class features																																
Bonus Languages	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Instead of substituting Sylòvan for one of his bonus languages, a sea druid may substitute Aquan instead, the tongue od the deep sea.	KEY:Sea Druid ~ Bonus Languages																		TEMPLATE:Sea Druid ~ Bonus Languages								SORTKEY:Class_Druid	SOURCEPAGE:SoB
Nature Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality	VISIBLE:YES	DESC:As listed in core rule, but a sea druid's nature sense is limited to aquatic plants and animals. However, he also gains the ability to predict weather for a number of days in advance equal to his class level divided by two rounding down(%1 days).|NatureSenseForecast	KEY:Sea Druid ~ Nature Sense				DEFINE:NatureSenseForecast|0					BONUS:VAR|NatureSenseForecast|DruidLVL/2																	SORTKEY:Class_Druid	SOURCEPAGE:SoB
Speed of the Fish	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality	VISIBLE:YES	DESC:He may now swim through the water at twice his normal swimming rate. This is adjusted as normal id the sea druid is encumbered.	KEY:Sea Druid ~ Speed of the Fish																										SORTKEY:Class_Druid	SOURCEPAGE:SoB
Salt Synthesis	CATEGORY:Special Ability	TYPE:ClassFeatures.DruidClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The sea druid gains the ability to subsist purely on sea water for periods of up to one week per class level (%1 week). Salt Synthesis, however, may not be conferred to another individual.|SaltSynthesisDuration	KEY:Sea Druid ~ Salt Synthesis				DEFINE:SaltSynthesisDuration|0					BONUS:VAR|SaltSynthesisDuration|DruidLVL																	SORTKEY:Class_Druid	SOURCEPAGE:SoB
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SailorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The Sailor is proficient in the use of all simple and martial weapons, in light and medium armor. He is not proficient in the use of shields.	KEY:Sailor ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium							SORTKEY:Class_Sailor	SOURCEPAGE:SoB
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The buccaneer is proficient in all simple and martial weapons, light and medium armour but not shields.	KEY:Buccaneer ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium							SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
Shipboard Climbing	CATEGORY:Special Ability	TYPE:ClassFeatures.BuccaneerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, a buccaneer may add a +2 competence bonus to all Climb checks when on board ship. This includes climbing up the outside of the hull of a boat, as well as masts and rigging.	KEY:Buccaneer ~ Shipboard Climbing																										SORTKEY:Class_Buccaneer	SOURCEPAGE:SoB
