SOURCELONG:Gozzilioni Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
###Block: Subraces																																
#Subrace																																
																																
###Block:Sub Races																																
																																
###Block:Races																																
Race Traits ~ Fideal	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=FidealRaceTrait																													
Damage Reduction	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Whilst they remain in the water, the fideal have DR 10/+1. This ability is lost when they leave the water.	KEY:Fideal ~ Damage Reduction																											SOURCEPAGE:SoB
Enthralling Gaze	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialAttack.Supernatural.Gaze	VISIBLE:YES	DESC:Any creature that meets the gaze of the fideal must make a Will save (DC %1) or be paralysed for 1d4 runds. Whether or not the save is successful, the subject may not be affected by any further enthralling gaze for one day.|EnthrallingGazeDC	KEY:Fideal ~ Enthralling Gaze				DEFINE:EnthrallingGazeDC|0					BONUS:VAR|EnthrallingGazeDC|DefaultDCCha	BONUS:VAR|EnthrallingGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Enthralling Gaze)								ABILITY:Ability Focus|AUTOMATIC|Enthralling Gaze									SOURCEPAGE:SoB
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:The fideal may only use this ability if their enthralling gaze was successful.	KEY:Fideal ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=HD|Dominate Person,15+CHA									SOURCEPAGE:SoB
Tendrils	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If the fideal make a successful grappling attack, their tendrils inflict 1d6+2 points of crushing damage. In addition, fideal may work together to halt the movement of boats and ships. The amount of fideal required to halt a vessel of any given size is Tiny:1, Small:5, Medium:10, Large:25, Huge:50, Gargantuan:100, Colossal:200. The only way to free a vessel from the fideal is to slay them.	KEY:Fideal ~ Tendrils																											SOURCEPAGE:SoB
Swim	CATEGORY:Special Ability	TYPE:FidealRaceTrait.SpecialQuality	VISIBLE:YES	DESC:the fideal receive a +8 racial bonus to swim checks.	KEY:Fideal ~ Swim									BONUS:SKILL|Swim|8|TYPE=Racial																		SOURCEPAGE:SoB
																																
Race Traits ~ Fisherman	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=FishermanRaceTrait	AUTO:WEAPONPROF|Boathook|Gaff Hook																												
Aura of Fear	CATEGORY:Special Ability	TYPE:FishermanRaceTrait.SpecialAttack.Supernatural.Aura	VISIBLE:YES	DESC:Any living creature within 60 feet of a fisherman will be affected by a Cause Fear spell as if cast by a 15th level sorcerer.	KEY:Fisherman ~ Aura of Fear																											SOURCEPAGE:SoB
Deathwatch	CATEGORY:Special Ability	TYPE:FishermanRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Fisherman may make constant use of the spell Deathwatch, as if cast by a 15th level cleric. The range of a fisherman's Deathwatch is one mile per HD, rather than that given for the actual spell, allowing it to sense the life state of any given creature within its territory. This ability can be negated as normal, but the fisherman can reactivate it at any time as a free action.	KEY:Fisherman ~ Deathwatch																											SOURCEPAGE:SoB
Sea Sense	CATEGORY:Special Ability	TYPE:FishermanRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Ffisherman automatically knows the weather above the sea with a radius equal to its Wisdom modifier x 10 (%1)|SeaSenseRadius	KEY:Fisherman ~ Sea Sense				DEFINE:SeaSenseRadius|0					BONUS:VAR|SeaSenseRadius|WIS*10																		SOURCEPAGE:SoB
Create Soul Cage	CATEGORY:Special Ability	TYPE:FishermanRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Aby simply constructing a lobster cage out of the debris that floats to the bottom of the ocean, a fisherman may craft a soul cage. The soul cage is a magical contruction that through its crafting, has been enchanted with a Trap the Soul spell. The magic of a soul cage will only function for fisherman and the souls remain trapped for as long as the fisherman wishes and remains in the material world. Only upon the death of the fisherman may the trapped soul be released.	KEY:Fisherman ~ Create Soul Cage																											SOURCEPAGE:SoB
																																
Race Traits ~ Sea Giant	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SeaGiantRaceTrait	AUTO:WEAPONPROF|Trident																												
Shape Water	CATEGORY:Special Ability	TYPE:SeaGiantRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1/day, a sea giant can form a volume of water into the shape of a 20-foot long arm ending in a clenched fist (AC 20, hp 80). the fist attacks using the sea giant's attack roll and deals 1d8+3 points of slam damage. Any creature struck must succeed at a Fort save (DC %2) or be stunned for 1 round. A stunned creature cannot act and loses any dexterity bonus to AC. Attackers gain +2 bonuses to attack a stunned creature. The arm remain for %3 rounds and the sea giant does not need to concentrate to maintain the arm. The fist loses shape if it reaches 0 hit points, the duration expires or the sea giant dies.|ShapeWaterTimes|ShapeWaterDC|ShapeWaterDuration	KEY:Sea Giant ~ Shape Water				DEFINE:ShapeWaterTimes|0	DEFINE:ShapeWaterDC|0	DEFINE:ShapeWaterDuration|0			BONUS:VAR|ShapeWaterTimes|1	BONUS:VAR|ShapeWaterDuration|HD	BONUS:VAR|ShapeWaterDC|DefaultSpellDCCha+2																SOURCEPAGE:SoB
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:SeaGiantRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Sea Giant ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=2|CASTERLEVEL=17|Control Water,14+WIS	SPELLS:Innate|TIMES=1|CASTERLEVEL=17|Control Winds,15+WIS								SOURCEPAGE:SoB
Freedom of Movement	CATEGORY:Special Ability	TYPE:SeaGiantRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Sea giants continuously have Freedom of Movement as the spell.	KEY:Sea Giant ~ Freedom of Movement																											SOURCEPAGE:SoB
Water Breathing	CATEGORY:Special Ability	TYPE:SeaGiantRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Sea giants can breathe underwater indefinitely and can freely use their spell-like abilities when submerged.	KEY:Sea Giant ~ Water Breathing																											SOURCEPAGE:SoB
																																
Race Traits ~ Gnarled Eels	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GnarledEelsRaceTrait																													
Frenzied Bite	CATEGORY:Special Ability	TYPE:GnarledEelsRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once a gnarled eels has wounded a victim, all gnarled eels involved in the combat will enter frenzy. Each may now bite twice in a combat round taking a -2 circumstance penalty to their attack rolls for both bites.	KEY:Gnarled Eels ~ Frenzied Bite																											SOURCEPAGE:SoB
Bunching	CATEGORY:Special Ability	TYPE:GnarledEelsRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gnarled Eels are very slender and flexible and, when on the attack, they swarm over one another with ease. Two gnarled eels may occuy the same 5-foot space.	KEY:Gnarled Eels ~ Bunching																											SOURCEPAGE:SoB
Prey Sense	CATEGORY:Special Ability	TYPE:GnarledEelsRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A gnarled eel is very sensitive to sound, vibration and scet and is able to detect blood or struggling prey in the water at a distance of up to 1 mile. Swimming may also attract a gnarled eel school's attention.	KEY:Gnarled Eels ~ Prey Sense									BONUS:VAR|KeenScentBloodRadius|1|TYPE=Base																		SOURCEPAGE:SoB
Locate Prey	CATEGORY:Special Ability	TYPE:GnarledEelsRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Gnarled eels receive a +4 racial bonus to Spot checks when searching for a prey.	KEY:Gnarled Eels ~ Locate Prey																											SOURCEPAGE:SoB
																																
Race Traits ~ Grey Lady	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GreyLadyRaceTrait|Turn Resistance	BONUS:VAR|TurnResistBonus|2																												
Aura of Fear	CATEGORY:Special Ability	TYPE:GreyLadyRaceTrait.SpecialAttack.Extraordinary.Aura	VISIBLE:YES	DESC:An opponent with 5 HD or less that attempts to approach to within %1 feet of the Grey Lady must make a will save (DC %2) or be unable to continue due to an overwhelming sense of dread.|AuraOfFearRadius|AuraOfFearDC	KEY:Grey Lady ~ Aura of Fear				DEFINE:AuraOfFearRadius|0	DEFINE:AuraOfFearDC|0				BONUS:VAR|AuraOfFearRadius|60	BONUS:VAR|AuraOfFearDC|DefaultDCCha	BONUS:VAR|AuraOfFearDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Aura of Fear)							ABILITY:Ability Focus|AUTOMATIC|Aura of Fear									SOURCEPAGE:SoB
Chill Touch	CATEGORY:Special Ability	TYPE:GreyLadyRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The touch of a Grey Lady is supernaturally cold, acting as a Chill Touch spell as if cast by a 4th level sorcerer. A grey lady may use this avility at will and does so with every melee attack she makes.	KEY:Grey Lady ~ Chill Touch																											SOURCEPAGE:SoB
Ravages of Death	CATEGORY:Special Ability	TYPE:GreyLadyRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any living creature that sees the face of a grey lady suddenly knows her pain, frustration and rage, and has a glimpse of the anguish of what it is like to die broken hearted. Any opponent experiencing this tragic emotion must make a Will save (DC %1) or be wrought with despair. They will fall into a stupor, unable to take any action other than weeping and screaming for 1d6 hours. A Calm Emotions spell will end this effect.|RavagesOfDeathDC	KEY:Grey Lady ~ Ravages of Death				DEFINE:RavagesOfDeathDC|0					BONUS:VAR|RavagesOfDeathDC|DefaultDCCha	BONUS:VAR|RavagesOfDeathDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Ravages of Death)								ABILITY:Ability Focus|AUTOMATIC|Ravages of Death									SOURCEPAGE:SoB
Harbringer	CATEGORY:Special Ability	TYPE:GreyLadyRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The appearance of a grey lady is usually a harbringer of some future catastrophe, such as a great storm or a shipwreck. Such events will occur within 1d6 days of the sighting of the grey lady.	KEY:Grey Lady ~ Harbringer																											SOURCEPAGE:SoB
																																
Race Traits ~ Jastra Root	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=JastraRootRaceTrait|Immunity To Electricity																													
