SOURCELONG:Gozzilioni Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																																																																	
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	SORTKEY:
Fideal			STARTFEATS:1	SIZE:M	MOVE:Walk,40,Swim,60	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|6		BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Climb|Jump|Listen|Move Silently|Swim									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Fideal							DR:10/Magic		MONSTERCLASS:Monstrous Humanoid:2	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Aquatic	TYPE:Monstrous Humanoid					HITDICEADVANCEMENT:4,6		CR:2	SOURCEPAGE:SoB		
Fisherman			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Swim,30	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Craft (Soul Cage)|Diplomacy|Intimidate|Knowledge (Local)|Listen|Search|Sense Motive|Spot|Swim									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Fisherman									MONSTERCLASS:Outsider:15	RACETYPE:Outsider	RACESUBTYPE:Aquatic|Evil	TYPE:Outsider					HITDICEADVANCEMENT:22,45		CR:9	SOURCEPAGE:SoB		
Giant (Sea)	OUTPUTNAME:[NAME] Giant	FAVCLASS:Fighter	STARTFEATS:1	SIZE:H	MOVE:Walk,50,Swim,40	FACE:10	REACH:15	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|12|TYPE=NaturalArmor						BONUS:STAT|STR|26	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Jump|Listen|Spot|Swim									LEGS:2	HANDS:2			BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))	NATURALATTACKS:Thrown Rock,Weapon.Natural.Ranged.Thrown.Bludgeoning,*1,2d6	NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d6	ABILITY:Internal|AUTOMATIC|Race Traits ~ Sea Giant									MONSTERCLASS:Giant:17	RACETYPE:Giant		TYPE:Giant							CR:12	SOURCEPAGE:SoB		
Gnarled Eels			STARTFEATS:1	SIZE:L	MOVE:Swim,30	FACE:10	REACH:5			KIT:1|TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|-6					MONCSKILL:Survival|Spot									LEGS:0	HANDS:0			BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Gnarled Eels									MONSTERCLASS:Magical Beast:2	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:6		CR:1	SOURCEPAGE:SoB		
Grey Lady			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|NE										BONUS:STAT|DEX|4				BONUS:STAT|CHA|4			MONCSKILL:Bluff|Intimidate|Knowledge (Arcana)|Listen|Search|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing.Touch.Incorporeal,*1,1d8,SPROP=Strength Drain		ABILITY:Internal|AUTOMATIC|Race Traits ~ Grey Lady									MONSTERCLASS:Undead:2	RACETYPE:Undead	RACESUBTYPE:Incorporeal	TYPE:Undead					HITDICEADVANCEMENT:6		CR:2	SOURCEPAGE:SoB		
Jastra Root			STARTFEATS:1	SIZE:H	MOVE:Walk,30,Swim,50	FACE:20	REACH:10	BONUS:VAR|BlindsightRange|30|TYPE=Base		KIT:1|NE			BONUS:COMBAT|AC|12|TYPE=NaturalArmor						BONUS:STAT|STR|16		BONUS:STAT|CON|8	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2				MONCSKILL:Hide									LEGS:6	HANDS:6				NATURALATTACKS:Frond,Weapon.Natural.Finesseable.Melee.Slashing.Bludgeoning,*6,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Jastra Root									MONSTERCLASS:Plant:8	RACETYPE:Plant		TYPE:Plant					HITDICEADVANCEMENT:15,24		CR:7	SOURCEPAGE:SoB		
Ooze (Killer Wave)	OUTPUTNAME:Ooze, [NAME]			SIZE:L	MOVE:Walk,10,Swim,60	FACE:10	REACH:10	BONUS:VAR|BlindsightRange|60|TYPE=Base		KIT:1|TN									BONUS:STAT|STR|6	BONUS:STAT|DEX|-10	BONUS:STAT|CON|18		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d8,SPROP=Acid	NATURALATTACKS:Spit,Weapon.Natural.Finesseable.Ranged.Bludgeoning,*1,1,SPROP=Acid	ABILITY:Internal|AUTOMATIC|Race Traits ~ Killer Wave Ooze									MONSTERCLASS:Ooze:4	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Mindless				HITDICEADVANCEMENT:8,12		CR:2	SOURCEPAGE:SoB		
Leviathan			STARTFEATS:1	SIZE:C	MOVE:Swim,80	FACE:500	REACH:10	BONUS:VAR|DarkvisionRange|500|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|20|TYPE=NaturalArmor						BONUS:STAT|STR|34	BONUS:STAT|DEX|-4	BONUS:STAT|CON|20	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10			MONCSKILL:Handle Animal|Survival|Knowledge (Nature)|Knowledge (Local)|Sense Motive|Swim									LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Leviathan						SR:30			MONSTERCLASS:Magical Beast:32	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:*		CR:23	SOURCEPAGE:SoB		
Sea Drake			STARTFEATS:1	SIZE:L	MOVE:Walk,20,Swim,60	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base				BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Spot									LEGS:0	HANDS:4				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Sea Drake									MONSTERCLASS:Dragon:11	RACETYPE:Dragon	RACESUBTYPE:Aquatic	TYPE:Dragon					HITDICEADVANCEMENT:19,33		CR:9	SOURCEPAGE:SoB		
Talorani			STARTFEATS:1	SIZE:M	MOVE:Walk,20,Swim,50	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|CN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor						BONUS:STAT|STR|2		BONUS:STAT|CON|2			BONUS:STAT|CHA|2			MONCSKILL:Handle Animal|Survival|Listen|Swim									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Talorani									MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Aquatic	TYPE:Humanoid	TEMPLATE:CHOOSE:Talorani Male|Talorani Female						CR:1	SOURCEPAGE:SoB		
