SOURCELONG:Gozzilioni Seas of Blood	SOURCESHORT:SoB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2001-01
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Control Currents			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration			COMPS:V, S	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One ship touched		DURATION:1 day	SAVEINFO:None	SPELLRES:No	DESC:See text.	SOURCEPAGE:SoB								
Curse Ship			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One ship touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Delay Sinking			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One ship touched		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Distil Water			TYPE:Divine	CLASSES:Cleric=2|Druid=2		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:20-ft radius spread		DURATION:Instantaneous	SAVEINFO:Fort halves; See text	SPELLRES:No	DESC:See text.	SOURCEPAGE:SoB								
Enchant Ram			TYPE:Arcane.Divine	CLASSES:Cleric=6|Sorcerer,Wizard=6		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One ship touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Farstroke			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=2|Sorcerer,Wizard=3		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched		DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Hold Ship			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One ship		DURATION:Concentration	SAVEINFO:None	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Murk and Gloom			TYPE:Arcane.Divine	CLASSES:Cleric=1|Druid=1|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft/level radius sphere		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:See text.	SOURCEPAGE:SoB								
Pacify Storm			TYPE:Arcane.Divine	CLASSES:Cleric=4|Druid=3|Sorcerer,Wizard=5		SCHOOL:Conjuration			COMPS:V, S, M	CASTTIME:1 minute	RANGE:1 mile centered on ship touched	TARGETAREA:One ship touched		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:See text.	SOURCEPAGE:SoB								
Predict Weather			TYPE:Arcane.Divine	CLASSES:Cleric=1|Druid=0|Sorcerer,Wizard=1		SCHOOL:Divination			COMPS:V, S	CASTTIME:1 minute	RANGE:Personal	TARGETAREA:1 mile/level		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text.	SOURCEPAGE:SoB								
Protection from Water			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text.	SOURCEPAGE:SoB								
Raise Death Hulk			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Necromancy			COMPS:V, S, F, XP	CASTTIME:1 hour	RANGE:Long	TARGETAREA:One sunken ship		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:See text.	SOURCEPAGE:SoB			XPCOST:1000					
Repair Ship			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=2|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One ship touched		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Repel Water			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Abjuration			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:2 hours/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Resist Pressure			TYPE:Arcane.Divine	CLASSES:Druid=1|Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched		DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Seavision			TYPE:Arcane.Divine	CLASSES:Cleric=2|Druid=1|Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched		DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Shellskin			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Transmutation			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One living creature touched		DURATION:10 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Skyship			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:V, S, F	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:One ship touched		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:See text.	SOURCEPAGE:SoB								
Teleport Ship			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Transmutation	SUBSCHOOL:Teleportation		COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One ship touched, plus all crew and cargo carried		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:See Text	DESC:See text.	SOURCEPAGE:SoB								
