SOURCELONG:More Divinity	SOURCESHORT:WEMD	SOURCEWEB:http://dnd.wizards.com													
#															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE			
# Class Name req	Requirements	FINE													
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS			
# Class Name spellcast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	SPELLLIST	spell level increases (BONUS:CASTERLEVEL)									
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)					
CLASS:Dweomerkeeper	HD:6	TYPE:PC.Prestige	FACT:Abb|Dmk	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige		DEFINE:DweomerkeeperLVL|0	BONUS:VAR|DweomerkeeperLVL|CL		BONUS:VAR|ClassBABPoor|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,1
CLASS:Dweomerkeeper	PRESKILL:1,Knowledge (Arcana)=8	PRESKILL:1,Spellcraft=8	PREABILITY:1,CATEGORY=FEAT,TYPE=ItemCreation,TYPE:Metamagic	PRETEXT:Able to cast arcane and divine spells. Special: The candidate must have created at least one magic item, whether of a permanent nature or not.	PREDOMAIN:1,Magic										
CLASS:Dweomerkeeper	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Heal|TYPE.Knowledge|TYPE.Profession|Spellcraft													
1				ABILITY:Dweomerkeeper Class Feature|AUTOMATIC|Dweomerkeeper ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.DweomerkeeperProficiencies											
1				ABILITY:Dweomerkeeper Class Feature|AUTOMATIC|Dweomerkeeper ~ Spells											
#															
1				ABILITY:Dweomerkeeper Class Feature|AUTOMATIC|Dweomerkeeper ~ Mantle of Spells|!PREABILITY:1,CATEGORY=ACF,TYPE.DweomerkeeperMantleOfSpells											
2				ABILITY:Dweomerkeeper Class Feature|AUTOMATIC|Dweomerkeeper ~ Arcane Sight|!PREABILITY:1,CATEGORY=ACF,TYPE.DweomerkeeperArcaneSight											
