SOURCELONG:J. Rients' Blog	SOURCESHORT:WEB_Jri	SOURCEWEB:http://jrients.blogspot.it	SOURCEDATE:2004-07
#								
# Equipment Name	Output Name	Type	Cost	Weight	Define	Requires Modification?	Source Page	Special Property
Book (Idioms and Rare Cryptographs)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP: by Elminster (message, write, illusionary script, tongues, audible glamer, magic mouth)		
Book (Legendry of Phantoms and Ghosts)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Evard (phantom armor, phantom steed, phantom wind, Evard's black tentacle, wraithform).		
Book (Lore of Subtle Communication)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Tasha (ventriloquism, message, comprehend languages, legend lore, Tasha.s uncontrollable hideous laughter)		
Book (Ancient Cryptomancy)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Phandal (sending, wizard mark, secret page, sepia snake sigil)		
Book (Extreme Powers of Observation)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Kwalish (detect magic, detect illusion, identify, detect invisibility, glassee, locate object)		
Book (Eyes, Vision and Arcane Sight)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Alphon (infravision, clairvoyance, blur, vision, blindness, wizard eye, eyebite, ultravision)		
Book (Theories on Perception)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Kuroth (detect evil, clairaudience, true sight, deafness)		
Book (Manual of Powers Beyond Life)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Bigby (burning hands, Bigby's interposing hand, Bigby's forceful hand, Bigby's grasping hand, Bigby's crushing hand, Bigby's clenched fist)		
Book (The Seven Skies of the Universe)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Casimur (gust of wind, whispering wind, rainbow pattern, precipitation, cloudburst, wind wall)		
Book (The Forgotten Arts of Oratory Magnetism)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Leomund (fascinate, taunt, irritation, truename, Leomund's lamentable belabourment)		
Book (Theory of the Invisible Forces)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Tenser (push, unseen servant, strength, Tenser's floating disc)		
Book (Displacements and Modelling)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Thurl (shatter, enlarge, mending, stone shape, massmorph)		
Book (Creation and Modification of Matter)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Caterpillar (move earth, dig, telekinesis, statue)		
Book (Influence on Solid Corpus)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Mentor (fool's gold, transmute rock to mud, stone to flesh, plant growth, animal growth, shape change)		
Book (Subconsciuos Repercussions of Pyromancy)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Quaal (fire trap, wall of fire, firewater, flaming sphere)		
Book (Dissimulation and Obscuration)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Tzunk (blink, invisibility invisibility 10. radius, improved invisibility darkness, continual darkness, vacancy, avoidance, mass invisibility)		
Book (Life of Nature, Its Secrets)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Caligarde (feather fall, levitate, spider climb, web, fly, mount, Caligarde's claw, bind)		
Book (Alteration of Tangibles and Intangibles)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Yagrax (melt, transmute water to dust, item, material, fabricate, crystalbrittle)		
Book (Encyclopedia of the Non-Substance)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Asmiak (erase, non-detection, misdirection, improved phantasmal force)		
Book (Components and Reaction of the Phosphorus)		TYPE:Goods.Book	COST:0	WT:0.5	SOURCEPAGE:WEB_Jri	SPROP:by Daern (affect normal fires, dancing lights, fire charm, fireball, delayed blast fireball, incendiary cloud)		
