SOURCELONG:Gozzilioni Pathfinder PRD	SOURCESHORT:PRD	SOURCEWEB:http://paizo.com/pathfinderRPG/prd/	SOURCEDATE:2013-01									
#												
#Equip	TYPE:	COST:	WT:	SOURCEPAGE:	SPROP:	EQMOD:						
Inkpen.MOD	TYPE:Inkpen											
Torch.MOD	TYPE:Torch											
Everburning Torch.MOD	TYPE:Torch											
Sunrod.MOD	TYPE:Torch											
Spade or Shovel.MOD					OUTPUTNAME:Spade							
Lantern (Bullseye).MOD	TYPE:Lantern											
Lantern (Hooded).MOD	TYPE:Lantern											
												
###Basic Equipment Object to be modified.												
Tattoo	TYPE:Tattoo	COST:0	WT:0	SOURCEPAGE:PRD	MODS:REQUIRED	SPROP:The price of a tattoo depends on the quality, size, and number of colors used. A coin-sized tattoo in blue ink that will blur over a decade costs 1 cp, a hand-sized one in black ink that won't fade costs 1 sp, and a tattoo covering an entire back takes several sessions and costs 10 gp. Each additional color costs as much as a single tattoo of its size. While these prices represent the baseline, tattoos-like any other artwork-can be worth far more depending on the prestige of the artist.						
												
###Block:Trap												
Bear Trap	TYPE:Trap.Mechanical	COST:2	WT:10	SOURCEPAGE:PRD	SPROP:Although intended for trapping large animals, bear traps work as well for trapping humanoids or monsters. The hinged jaws of the trap are attached to a chain, which in turn is secured to a spike driven into the ground to ensure that the victim cannot simply crawl away. Prying open the jaws or pulling the spike from the ground requires a DC 20 Strength check.	EQMOD:TRAP_ATK_BONUS_10.TRAP_AVG_DMG_7.TRAP_DISABLE_DC_20.TRAP_DMG_BONUS_MLE_3.TRAP_MECH_RESET_MANL.TRAP_MECH_TRIGGER_LCTN.TRAP_MLEE.TRAP_SRCH_DC_15.MAGIC_COST|200						
Tripwire Trap	TYPE:Trap.Mechanical	COST:5	WT:0.5	SOURCEPAGE:PRD	SPROP:Trip combat maneuver +5 (+10 if the target is running)	EQMOD:TRAP_ATK_BONUS_5.TRAP_DISABLE_DC_10.TRAP_MECH_RESET_AUTO.TRAP_MECH_TRIGGER_LCTN.TRAP_MLEE.TRAP_SRCH_DC_15.MAGIC_COST|1500						
												
###Block:Alchemical												
Antidote Kit	TYPE:Goods.Tools	COST:100	WT:3	SOURCEPAGE:PRD	SPROP:This small box contains a wide variety of remedies and treatments against not only specific poisons but also their most common methods of delivery, including such things as purgatives to eliminate ingested toxins. It grants a +3 circumstance bonus on Heal checks made to treat poison. An antidote kit is exhausted after 10 uses.	EQMOD:CHARGED_ITEM_10|CHARGES[10]						
Alchemical Grease (Flask)	TYPE:Goods.Alchemical.Flask.Consumable.Liquid	COST:5	WT:1	SOURCEPAGE:PRD	SPROP:Each pot of this slick black goo has sufficient contents to cover one Medium creature or two Small ones. If you coat yourself in alchemical grease, you gain a +5 alchemical bonus on Escape Artist checks, on combat maneuver checks made to escape a grapple, and to your CMD to avoid being grappled; this lasts 4 hours or until you wash it off.	TEMPBONUS:ANYPC|SKILL|Escape Artist|5|TYPE=Alchemical						
Alchemist's Kindness	TYPE:Goods.Alchemical.Powder.Consumable	COST:1	WT:0	SOURCEPAGE:PRD	SPROP:Favored by young rakes and other well-to-do inebriates, this crystalline powder resembles salt. Mixed with water, it makes a fizzing cocktail that eliminates the effects of a hangover within 10 minutes of drinking it.							
