SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																			
																																						
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										SOURCEPAGE:						
Barbarian	CATEGORY:CLASS								DEFINE:POOL_Barbarian_Skill|0														ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial								SOURCEPAGE:PHB						
Bard	CATEGORY:CLASS								DEFINE:POOL_Bard_Skill|0	DEFINE:POOL_Bard_Magical_Secrets|0	DEFINE:BardToolCount|0			BONUS:ABILITYPOOL|Skill Proficiency|BardSkillCount	BONUS:ABILITYPOOL|Bard Tool Proficiency|BardToolCount	BONUS:VAR|POOL_Bard_Skill|1	BONUS:VAR|BardToolCount|1															SOURCEPAGE:PHB						
Cleric	CATEGORY:CLASS																						ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf									SOURCEPAGE:PHB						
Druid	CATEGORY:CLASS																						ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf									SOURCEPAGE:PHB						
Fighter	CATEGORY:CLASS																						ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial								SOURCEPAGE:PHB						
Monk	CATEGORY:CLASS																							ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfMonk	AUTO:WEAPONPROF|Shortsword							SOURCEPAGE:PHB						
Paladin	CATEGORY:CLASS																						ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial								SOURCEPAGE:PHB						
Ranger	CATEGORY:CLASS								DEFINE:POOL_Ranger_Skill|0					BONUS:VAR|POOL_Ranger_Skill|1									ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium|TYPE=ShieldProf	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial								SOURCEPAGE:PHB						
Rogue	CATEGORY:CLASS								DEFINE:POOL_Rogue_Skill|0					BONUS:VAR|POOL_Rogue_Skill|1									ABILITY:Internal|AUTOMATIC|Tool Proficiency ~ Thieves' Tools|TYPE=ArmorProfLight									SOURCEPAGE:PHB						
Sorcerer	CATEGORY:CLASS																															SOURCEPAGE:PHB						
Warlock	CATEGORY:CLASS																						ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SOURCEPAGE:PHB						
Wizard	CATEGORY:CLASS																															SOURCEPAGE:PHB						
																																						
Standard Ranger	CATEGORY:Internal	TYPE:Ranger Class Selection	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial|TYPE=ArmorProfMedium|TYPE=ShieldProf																			BONUS:VAR|POOL_Ranger_Skill|1																
																																						
###Block:Abilities																																						
