SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																														
																																																	
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page							
Alert	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Always on the lookout for danger, you gain the following benefits: &nl;You gain a +5 bonus to initiative. &nl;You can't be surprised while you are conscious. &nl;Other creatures don't gain advantage on attack rolls against you as a result of being hidden from you.									BONUS:COMBAT|INITIATIVE|5								SOURCEPAGE:PHB							
Athlete	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have undergone extensive physical training to gain the following benefits: &nl;Increase your Strength or Dexterity score by 1, to a maximum of 20. &nl; When you are prone, standing up uses only 5 feet of you r movement. &nl;Climbing doesn't halve your speed. &nl;You can make a running long jump or a running high jump after moving only 5 feet on foot, rather than 10 feet.	STACK:NO	MULT:YES	CHOOSE:NUMCHOICES=1|PCSTAT|STR|DEX														SOURCEPAGE:PHB	BONUS:STAT|%LIST|1						
Actor	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Skilled at mimicry and dramatics, you gain the following benefits: &nl;Increase your Charisma score by 1, to a maximum of 20. &nl;You have advantage on Charisma (Deception) and Charisma (Performance) checks when trying to pass yourself off as a different person. &nl;You can mimic the speech of another person or the sounds made by other creatures. You must have heard the person speaking. or heard the creature make the sound, for at least 1 minute. A successful Wisdom (Insight) check contested by your Charisma (Deception) check allows a tistener to determine that the effect is faked.																	SOURCEPAGE:PHB	BONUS:STAT|CHA|1						
Charger	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:When you use your action to Dash, you can use a bonus action to make one melee weapon attack or to shove a creature. 1fyou move at least 10 feet in a straight tine immediately before taking this bonus action, you either gain a +5 bonus to the attack's damage roll (if you chose to make a melee attack and hit) or push the target up to 10 feet away from you (if you chose to shove and you succeed).																	SOURCEPAGE:PHB							
Crossbow Expert	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Thanks to extensive practice with the crossbow, you gain the following benefits: &nl;You ignore the loading quality of crossbows with which you are proficient. &nl;Being within 5 feet of a hostile creature doesn't impose disadvantage on your ranged attack rolls. &nl;When you use the Attack action and attack with a onehanded weapon, you can use a bonus action to attack with a loaded hand crossbow you are holding.																	SOURCEPAGE:PHB							
Defensive Duelist	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES													PRESTAT:1,DEX=13									DESC:When you are wielding a finesse weapon with which you are proficient and another creature hits you with a melee attack, you can use your reaction to add your proficiency bonus to your AC for that attack, potentially causing the attack to miss you.																	SOURCEPAGE:PHB							
Dual Wielder	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You master fighting with two weapons, gaining the following benefits: &nl;You gain a +1 bonus to AC while you are wielding a separate melee weapon in each hand. &nl;You can use two-weapon fighting even whcn the onehanded melee weapons you are wielding aren't light. &nl;You can draw or stow two one-handed weapons when you would normally be able to draw or stow only one.									BONUS:COMBAT|AC|1|PREEQUIPPRIMARY:1,WIELDCATEGORY=OneHanded|PREEQUIPSECONDARY:1,TYPE=Weapon								SOURCEPAGE:PHB							
Dungeon Delver	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:Alert to the hidden traps and secret doors found in many dungeons, you gain the following benefits: &nl;You have advantage on Wisdom (Perception) and Intelligence (Investigation) checks made to detect the presence of secret doors, &nl;You have advantage on saving throws made to avoid or resist traps. &nl;You have resistance to the damage dealt by traps. &nl;You can search for traps while traveling at a normal pace, instead of only at a slow pace.																	SOURCEPAGE:PHB							
Durable	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:.Hardy and resilient, you gain the following benefits: &nl;lncrease your Constitution score by 1, to a maximum of 20. &nl;When you roll a Hit Die to regain hit points, the minimum number of hit points you regain from the roll equals twice your Constitution modifier (minimum of 2).																	SOURCEPAGE:PHB	BONUS:STAT|CON|1						
Elemental Adept	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES			PRESPELLTYPE:1,Arcane=1,Divine=1																	PRETEXT:Prerequisite: The ability to cast at least one spell		DESC:.When you gain this feat, choose one of the following damage types: acid, cold, fire, lightning, or thunder. Spells you cast ignore resistance to damage of the chosen type. In addition, when you roll damage for a spell you cast that deals damage of that type, you can treat any 1 on a damage die as a 2. You can select this feat multi pIe times. Each time you do so, you must choose a different damage type	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:PHB	BONUS:ABILITYPOOL|Elemental Adept|1						
Grappler	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You've developed the skills necessary to hold your own in close-quarters grappling. You gain the following benefits: &nl;You have advantage on attack rolls against a creature you are grappling. &nl;You can use your action to try to pin a creature grappled by you. To do so, make another grapple check. If you succeed, you and the creature are both restrained until the grapple ends. &nl;Creatures that are one size larger than you don't automatically succeed on checks to escape your grapple.																	SOURCEPAGE:PHB							
Great Weapon Master	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You've learned to put the weight of a weapon to your advantage, letting its momentum empower your strikes. You gain the following benefits: &nl;On your turn, when you score a criticai hit with a mele e weapon or reduce a creature to 0 hit points with one, you can make one melee weapon attack as a bonus action. &nl;Before you make a melee attack with a heavy weapon that you are proficient with, you can choose to take a -5 penalty to the attack roll. If the attack hits, you add +10 to the attack's damage.																	SOURCEPAGE:PHB							
Healer	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You are an able physician, allowing you to mend wounds quickly and get your allies back in the fight. You gain the following benefits: &nl;When you use a healer's kit to stabilize a dying creature, that creature also regains 1 hit point. &nl;As an action. you can spend one use of a healer's kit to tend to a creature and restore 1d6 + 4 hit points to it, plus additional hit points equal to the creature's maximurn nurnber of Hit Dice. The creature can't regain hit points from this feat again until it finishes a short ar long rest.																	SOURCEPAGE:PHB							
Heavily Armored	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES			PREPROFWITHARMOR:1,TYPE.MediumArmor																			DESC:You have trained to Illaster the use of heavy armor, gaining the following benefits: &nl;Increase your Strength score by 1, to a rnaximum of 20. &nl;You gain proficiency with heavy armor.				ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy													SOURCEPAGE:PHB	BONUS:STAT|STR|1						
Heavy Armor Master	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES			PREPROFWITHARMOR:1,TYPE.HeavyArmor																			DESC:You can use your armor to deflect strikes that would kill others. You gain the following benefits: &nl;Increase your Strength score by 1, to a Illaximum of 20. &nl;While you are wearing heavy armor, bludgeoning. piercing, and slashing damage that you take from nonmagical weapons is reduced by 3.																	SOURCEPAGE:PHB	BONUS:STAT|STR|1						
Inspiring Leader	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES													PRESTAT:1,DEX=13									DESC:You can spend 10 minutes inspiring your companions, shoring up their resolve to fight. When you do so, choose up to six friendly creatures (which can include yourself) within 30 feet of you who can see or hear you and who can understand you. Each creature can gain temporary hit points equal to your levei + your Charisma modifier. A creature can't gain temporary hit points from this feat again until it has finished a short or long rest.																	SOURCEPAGE:PHB							
Keen Mind	CATEGORY:FEAT	TYPE:Feat	VISIBLE:YES																						DESC:You have a mind that can track time, direction, and detail with uncanny precision. You gain the following benefits. 1ncrease your lntelligence score by 1, to a rnaximum of20. &nl;You always know which way is north. &nl;You always know the number of hours lef! before the next sunrise ar sunset. &nl;You can accurately recall anything you have seen or heard within the past month.																	SOURCEPAGE:PHB	BONUS:STAT|INT|1						
