SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																
																																			
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	TYPE:	RACETYPE:	RACESUBTYPE:	MONSTERCLASS:	MOVE:		Combat bonus	NATURALATTACKS:	NATURALATTACKS:	Weapon prof. bonus	Weapon prof. bonus	FACE:	REACH:	Special Ability	Damage Reduction	Spell Res.	Stat bonus						MONCSKILL:	CR:	Required AL	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	Nb Legs	Nb Hands	SOURCEPAGE:	
Dwarf				SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Dwarf		MOVE:Walk,25									ABILITY:Race|AUTOMATIC|Dwarf					BONUS:STAT|CON|2|TYPE=Racial									LEGS:2	HANDS:2	SOURCEPAGE:PHB	
Elf				SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Elf		MOVE:Walk,30									ABILITY:Race|AUTOMATIC|Elf				BONUS:STAT|DEX|2|TYPE=Racial										LEGS:2	HANDS:2	SOURCEPAGE:PHB	
Halfling				SIZE:S	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Halfling		MOVE:Walk,25									ABILITY:Race|AUTOMATIC|Halfling				BONUS:STAT|DEX|2|TYPE=Racial										LEGS:2	HANDS:2	SOURCEPAGE:PHB	
Human				SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Human		MOVE:Walk,30									ABILITY:Race|AUTOMATIC|Human														LEGS:2	HANDS:2	SOURCEPAGE:PHB	
Dragonborn				SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Dragonborn		MOVE:Walk,30									ABILITY:Race|AUTOMATIC|Dragonborn			BONUS:STAT|STR|2|TYPE=Racial					BONUS:STAT|CHA|1|TYPE=Racial						LEGS:2	HANDS:2	SOURCEPAGE:PHB	
Gnome				SIZE:S	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Gnome		MOVE:Walk,25									ABILITY:Race|AUTOMATIC|Gnome						BONUS:STAT|INT|2|TYPE=Racial								LEGS:2	HANDS:2	SOURCEPAGE:PHB	
Half-Elf				SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Half-Elf		MOVE:Walk,30									ABILITY:Race|AUTOMATIC|Half-Elf								BONUS:STAT|CHA|2|TYPE=Racial						LEGS:2	HANDS:2	SOURCEPAGE:PHB	
Half-Orc				SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Half-Orc		MOVE:Walk,30									ABILITY:Race|AUTOMATIC|Half-Orc			BONUS:STAT|STR|2|TYPE=Racial		BONUS:STAT|CON|1|TYPE=Racial									LEGS:2	HANDS:2	SOURCEPAGE:PHB	
Tiefling				SIZE:M	TYPE:Humanoid	RACETYPE:Humanoid	RACESUBTYPE:Tiefling		MOVE:Walk,30									ABILITY:Race|AUTOMATIC|Tiefling						BONUS:STAT|INT|1|TYPE=Racial		BONUS:STAT|CHA|2|TYPE=Racial						LEGS:2	HANDS:2	SOURCEPAGE:PHB	
																																			
###Block: Animals																																			
Animal (Bat)				SIZE:T	TYPE:Beast	RACETYPE:Beast	RACESUBTYPE:RangerCompanion	MONSTERCLASS:Hit Die:1	BONUS:VAR|RaceBase_Walk|5	BONUS:VAR|RaceBase_Fly|30		NATURALATTACKS:Bite,Melee.Weapon.Natural.OneCreature.Piercing,*1,1						ABILITY:Internal|AUTOMATIC|Racial Traits ~ Bat			BONUS:STAT|STR|-8|TYPE=Racial	BONUS:STAT|DEX|4|TYPE=Racial	BONUS:STAT|CON|-2|TYPE=Racial	BONUS:STAT|INT|-8|TYPE=Racial	BONUS:STAT|WIS|2|TYPE=Racial	BONUS:STAT|CHA|-6|TYPE=Racial		CR:0	KIT:1|UA					SOURCEPAGE:PHB	KIT:1|Default Creature ~ Bat
Animal (Black Bear)				SIZE:M	TYPE:Beast	RACETYPE:Beast	RACESUBTYPE:RangerCompanion	MONSTERCLASS:Hit Die:1	BONUS:VAR|RaceBase_Walk|40	BONUS:VAR|RaceBase_Climb|30		NATURALATTACKS:Bite,Melee.Weapon.Natural.OneCreature.Piercing,*1,1d6	NATURALATTACKS:Bite,Melee.Weapon.Natural.OneCreature.Piercing,*1,2d4					ABILITY:Internal|AUTOMATIC|Racial Traits ~ Black Bear			BONUS:STAT|STR|2|TYPE=Racial		BONUS:STAT|CON|2|TYPE=Racial	BONUS:STAT|INT|-8|TYPE=Racial	BONUS:STAT|WIS|2|TYPE=Racial	BONUS:STAT|CHA|-4|TYPE=Racial		CR:1/2	KIT:1|UA					SOURCEPAGE:PHB	KIT:1|Default Creature ~ Black Bear
Animal (Boar)				SIZE:M	TYPE:Beast	RACETYPE:Beast	RACESUBTYPE:RangerCompanion	MONSTERCLASS:Hit Die:2	BONUS:VAR|RaceBase_Walk|40																										
