SOURCELONG:Dungeon Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-12																													
																																
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										SOURCEPAGE:
Abyssal Corruption ~ 1	CATEGORY:Special Ability	TYPE:SpecialQuality.Abyssal Corruption Flaw.Flaw		DESC:I can only achieve my goals by making sure that my companions don't achieve theirs.																										COST:0	SORTKEY:Background	SOURCEPAGE:DMG
Abyssal Corruption ~ 2	CATEGORY:Special Ability	TYPE:SpecialQuality.Abyssal Corruption Flaw.Flaw		DESC:I enjoy killing for its own sake, and once I start, it's hard to stop.																										COST:0	SORTKEY:Background	SOURCEPAGE:DMG
Abyssal Corruption ~ 3	CATEGORY:Special Ability	TYPE:SpecialQuality.Abyssal Corruption Flaw.Flaw		DESC:I am destined to rule the Abyss, and my companions are tools to that end.																										COST:0	SORTKEY:Background	SOURCEPAGE:DMG
Abyssal Corruption ~ 4	CATEGORY:Special Ability	TYPE:SpecialQuality.Abyssal Corruption Flaw.Flaw		DESC:The character is possessed by a demonic entity until freed by dispel evil and good or simi lar magic. Whenever the possessed character rolls a 1 on an attack roll, ability check, or saving throw, the demon takes control of the character and determines the character's behavior. At the end of each of the possessed character's turns, he or she can make a DC 15 Charisma saving throw. On a success, the character regains control until he or she rolls another 1..																										COST:0	SORTKEY:Background	SOURCEPAGE:DMG
																																
																																
CATEGORY=Internal|Default.MOD									DEFINE:Attuned_Item_Count|0	DEFINE:Attuned_Item_Max|0				BONUS:VAR|Attuned_Item_Max|3|TYPE=Base																		
This Character is Violating a Rule	CATEGORY:Special Ability	TYPE:SpecialQuality.SpecialAttack.Rules Violation		DESC:You currently have 1 or more invalid combinations constituting a rule violation. Please review the character to find the listed issue(s). Item(s) to review: %1|%LIST																MULT:YES	CHOOSE:USERINPUT|TITLE=Rule Violation										SORTKEY:0_1	SOURCEPAGE:DMG
																																
Amulet of Health	CATEGORY:Attunement	TYPE:Attunement				PREMULT:1,[PREABILITY:1,CATEGORY=Attunement,Amulet of Health],[PREVARLT:Attuned_Item_Count,Attuned_Item_Max]			DEFINESTAT:MINVALUE|CON|19					BONUS:VAR|Attuned_Item_Count|1									ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Amulet Of Health)|PREVAREQ:Attunement_Amulet_Of_Health,0							COST:0		SOURCEPAGE:DMG
Amulet of Proof Against Detection and Location	CATEGORY:Attunement	TYPE:Attunement				PREMULT:1,[PREABILITY:1,CATEGORY=Attunement,Amulet of Proof Against Detection and Location],[PREVARLT:Attuned_Item_Count,Attuned_Item_Max]								BONUS:VAR|Attuned_Item_Count|1									ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Amulet of Proof against Detection and Location)|PREVAREQ:Attunement_Amulet_Of_Proof_Against_Detection_And_Location,0							COST:0		SOURCEPAGE:DMG
Amuleth of the Planes	CATEGORY:Attunement	TYPE:Attunement				PREMULT:1,[PREABILITY:1,CATEGORY=Attunement,Amulet of the Planes],[PREVARLT:Attuned_Item_Count,Attuned_Item_Max]								BONUS:VAR|Attuned_Item_Count|1									ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Amulet of the Planes)|PREVAREQ:Attunement_Amulet_Of_The_Planes,0							COST:0		SOURCEPAGE:DMG
Animated Shield	CATEGORY:Attunement	TYPE:Attunement				PREMULT:1,[PREABILITY:1,CATEGORY=Attunement,Animated Shield],[PREVARLT:Attuned_Item_Count,Attuned_Item_Max]								BONUS:VAR|Attuned_Item_Count|1									ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Animated Shield)|PREVAREQ:Attunement_Animated_Shield,0							COST:0		SOURCEPAGE:DMG
Apparatus of Kwalish	CATEGORY:Attunement	TYPE:Attunement				PREMULT:1,[PREABILITY:1,CATEGORY=Attunement,Apparatus of Kwalish],[PREVARLT:Attuned_Item_Count,Attuned_Item_Max]								BONUS:VAR|Attuned_Item_Count|1									ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Apparatus of Kwalish)|PREVAREQ:Attunement_Apparatus_Of_Kwalish,0							COST:0		SOURCEPAGE:DMG
Armor of Invlunerability	CATEGORY:Attunement	TYPE:Attunement				PREMULT:1,[PREABILITY:1,CATEGORY=Attunement,Armor of Invlunerability],[PREVARLT:Attuned_Item_Count,Attuned_Item_Max]								BONUS:VAR|Attuned_Item_Count|1									ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Armor of Invulnerability)|PREVAREQ:Attunement_Armor_of_Invulnerability,0							COST:0		SOURCEPAGE:DMG
